X,Y,Z,A11,A21,A31,A12,A22,A32,A13,A23,A33,ResVort,ResStrain,Shear
5.4726250000000E+00,5.3099925000000E-01,-2.9820275600000E-02,5.9919300000000E-02,-8.0006400000000E-02,-2.2734200000000E-01,9.5432400000000E-01,6.9195300000000E-02,2.6680500000000E-01,9.0763000000000E-01,-2.7175700000000E-01,-1.2803500000000E-01,3.5247832536700E-01,3.2575570046900E-02,1.3554031848910E+00
5.4726250000000E+00,5.0928325000000E-01,-2.8600750575000E-02,7.3837600000000E-02,-7.1489800000000E-02,-2.3992000000000E-01,8.7788100000000E-01,2.0043400000000E-02,3.4773100000000E-01,9.2056600000000E-01,-2.9892500000000E-01,-9.2651200000000E-02,4.0030062198640E-01,5.4238121956590E-02,1.3199688196180E+00
5.4726250000000E+00,4.8860150000000E-01,-2.7439275550000E-02,8.6447900000000E-02,-6.3645900000000E-02,-2.4892400000000E-01,7.9103900000000E-01,-2.7291800000000E-02,4.1862700000000E-01,9.1721700000000E-01,-3.2480900000000E-01,-5.7821500000000E-02,4.4483932852750E-01,7.8607901930810E-02,1.2733001708980E+00
5.4726250000000E+00,4.6890475000000E-01,-2.6333100550000E-02,9.7421100000000E-02,-5.6577200000000E-02,-2.5471100000000E-01,7.0091900000000E-01,-7.1264200000000E-02,4.7890500000000E-01,9.0164800000000E-01,-3.4853000000000E-01,-2.4675600000000E-02,4.8505428433420E-01,1.0096114128830E-01,1.2218289375310E+00
5.4726250000000E+00,4.5014575000000E-01,-2.5279625525000E-02,1.0666000000000E-01,-5.0281400000000E-02,-2.5769000000000E-01,6.1283400000000E-01,-1.1129500000000E-01,5.2882400000000E-01,8.7757700000000E-01,-3.6955600000000E-01,6.1125000000000E-03,5.1845055818560E-01,1.2522791326050E-01,1.1705524921420E+00
5.4726250000000E+00,4.3228000000000E-01,-2.4276325500000E-02,1.1418400000000E-01,-4.4704000000000E-02,-2.5825900000000E-01,5.3017400000000E-01,-1.4634500000000E-01,5.6889600000000E-01,8.4816200000000E-01,-3.8771600000000E-01,3.4265800000000E-02,5.4510778188710E-01,1.4088508486750E-01,1.1232825517650E+00
5.4726250000000E+00,4.1526475000000E-01,-2.3320775475000E-02,1.2001800000000E-01,-3.9878200000000E-02,-2.5685500000000E-01,4.5665000000000E-01,-1.8025900000000E-01,5.9988500000000E-01,8.1586200000000E-01,-4.0270900000000E-01,5.9733900000000E-02,5.6016045808790E-01,1.5053457021710E-01,1.0852588415150E+00
5.4726250000000E+00,6.4873075000000E-01,-1.1022392500000E-01,-2.6988300000000E-02,-1.3168600000000E-01,-1.1900200000000E-01,1.2343900000000E+00,1.7581200000000E-01,-1.2081200000000E-01,6.7839900000000E-01,-2.6612600000000E-01,-1.4867900000000E-01,1.9675904512410E-01,1.3964071404190E-03,1.4546108245850E+00
5.4726250000000E+00,6.2136350000000E-01,-1.0557395000000E-01,-1.8336100000000E-02,-1.2553000000000E-01,-1.4835400000000E-01,1.2636000000000E+00,1.5093300000000E-01,-1.4216900000000E-02,7.7408100000000E-01,-2.8724900000000E-01,-1.3251000000000E-01,2.5050821900370E-01,4.1290377266710E-03,1.5146853923800E+00
5.4726250000000E+00,5.9529975000000E-01,-1.0114560000000E-01,-5.0418600000000E-03,-1.1718800000000E-01,-1.7513700000000E-01,1.2341900000000E+00,1.1335400000000E-01,9.8076800000000E-02,8.4334300000000E-01,-3.1077300000000E-01,-1.0822400000000E-01,2.8830000758170E-01,7.4278905987740E-02,1.5234861373900E+00
5.4726250000000E+00,5.7047725000000E-01,-9.6928075000000E-02,1.0711600000000E-02,-1.0788800000000E-01,-1.9816000000000E-01,1.1589000000000E+00,6.8395500000000E-02,2.0726500000000E-01,8.8504300000000E-01,-3.3556300000000E-01,-7.9012100000000E-02,3.4271833300590E-01,5.1946748048070E-02,1.4912075996400E+00
5.4726250000000E+00,5.4683650000000E-01,-9.2911275000000E-02,2.7036900000000E-02,-9.8552800000000E-02,-2.1698100000000E-01,1.0534900000000E+00,2.0893800000000E-02,3.0720600000000E-01,9.0191800000000E-01,-3.6023000000000E-01,-4.7803600000000E-02,3.9643290638920E-01,2.7225466445090E-02,1.4317067861560E+00
5.4726250000000E+00,5.2432150000000E-01,-8.9085775000000E-02,4.2554900000000E-02,-8.9740600000000E-02,-2.3164300000000E-01,9.3285300000000E-01,-2.5556300000000E-02,3.9489700000000E-01,8.9869800000000E-01,-3.8353900000000E-01,-1.6857900000000E-02,4.4829684495930E-01,1.1863545514640E-02,1.3580381870270E+00
5.4726250000000E+00,5.0287850000000E-01,-8.5442500000000E-02,5.6529400000000E-02,-8.1709900000000E-02,-2.4248800000000E-01,8.0857300000000E-01,-6.8717200000000E-02,4.6924000000000E-01,8.8076600000000E-01,-4.0458000000000E-01,1.2393300000000E-02,4.9707886576650E-01,3.7251271307470E-02,1.2800325155260E+00
5.4726250000000E+00,4.8245700000000E-01,-8.1972775000000E-02,6.8635100000000E-02,-7.4513000000000E-02,-2.4996100000000E-01,6.8879700000000E-01,-1.0754500000000E-01,5.3065600000000E-01,8.5317800000000E-01,-4.2282300000000E-01,3.9203100000000E-02,5.4044914245610E-01,6.9785714149480E-02,1.2048319578170E+00
5.4726250000000E+00,4.6300800000000E-01,-7.8668100000000E-02,7.8887000000000E-02,-6.8092400000000E-02,-2.5452100000000E-01,5.7867400000000E-01,-1.4170300000000E-01,5.8014600000000E-01,8.1997100000000E-01,-4.3806200000000E-01,6.3249800000000E-02,5.7684075832370E-01,9.7041711211200E-02,1.1372081041340E+00
5.4726250000000E+00,4.4448475000000E-01,-7.5520900000000E-02,8.7438300000000E-02,-6.2351600000000E-02,-2.5658800000000E-01,4.8065000000000E-01,-1.7157900000000E-01,6.1901300000000E-01,7.8428500000000E-01,-4.5028700000000E-01,8.4567800000000E-02,6.0325348377230E-01,1.1920686066150E-01,1.0806939601900E+00
5.4726250000000E+00,4.2684350000000E-01,-7.2523675000000E-02,9.4464800000000E-02,-5.7184600000000E-02,-2.5652300000000E-01,3.9561000000000E-01,-1.9667300000000E-01,6.4829000000000E-01,7.4841300000000E-01,-4.5985600000000E-01,1.0339700000000E-01,6.1889255046840E-01,1.2517030537130E-01,1.0378102064130E+00
5.4726250000000E+00,4.1004250000000E-01,-6.9669050000000E-02,1.0005600000000E-01,-5.2603200000000E-02,-2.5470900000000E-01,3.2448700000000E-01,-2.2168600000000E-01,6.6977500000000E-01,7.1357400000000E-01,-4.6629200000000E-01,1.1977500000000E-01,6.2166339159010E-01,2.9251377563920E-03,1.0174371004100E+00
5.4726250000000E+00,6.3231050000000E-01,-1.8216575000000E-01,-7.5340100000000E-02,-1.3000000000000E-01,-1.2280600000000E-01,1.4788500000000E+00,8.7071300000000E-02,2.1294500000000E-02,7.1884700000000E-01,-3.4439000000000E-01,-1.2717800000000E-02,2.4962189793590E-01,6.9754505530000E-03,1.6750633716580E+00
5.4726250000000E+00,6.0563600000000E-01,-1.7448075000000E-01,-5.9534300000000E-02,-1.2069700000000E-01,-1.5293800000000E-01,1.3855800000000E+00,5.0693900000000E-02,1.4983900000000E-01,7.7485900000000E-01,-3.6633000000000E-01,7.6761700000000E-03,3.0425411462780E-01,5.7594673708080E-03,1.6212387084960E+00
5.4726250000000E+00,5.8023200000000E-01,-1.6716200000000E-01,-4.0510500000000E-02,-1.1068200000000E-01,-1.7876400000000E-01,1.2434700000000E+00,8.1549500000000E-03,2.6917800000000E-01,8.0182300000000E-01,-3.8796400000000E-01,3.1004300000000E-02,3.6303898692130E-01,4.2032510973510E-03,1.5255069732670E+00
5.4726250000000E+00,5.5603775000000E-01,-1.6019175000000E-01,-2.1060700000000E-02,-1.0107700000000E-01,-1.9985400000000E-01,1.0778000000000E+00,-3.5126200000000E-02,3.7348700000000E-01,8.0459500000000E-01,-4.0840900000000E-01,5.4699600000000E-02,4.1499638557430E-01,7.2986170649530E-02,1.4115930795670E+00
5.4057350000000E+00,5.3299550000000E-01,-1.5355325000000E-01,-4.6718500000000E-02,-8.3574800000000E-02,-2.0610500000000E-01,9.4917500000000E-01,-4.6160500000000E-02,4.1300500000000E-01,7.3822100000000E-01,-4.1289900000000E-01,8.9674000000000E-02,4.3259304761890E-01,2.1996228024360E-03,1.2890459299090E+00
