Epoch 1/200, Training Loss: 0.2686081085285991, Validation Loss: 0.24504073122018577, Validation Accuracy: 0.890206
Epoch 2/200, Training Loss: 0.23764546793141217, Validation Loss: 0.22968704449811578, Validation Accuracy: 0.897528
Epoch 3/200, Training Loss: 0.22936058854150773, Validation Loss: 0.22420204851904513, Validation Accuracy: 0.900182
Epoch 4/200, Training Loss: 0.22529251777001472, Validation Loss: 0.22158173995891214, Validation Accuracy: 0.9014835
Epoch 5/200, Training Loss: 0.22215894662114605, Validation Loss: 0.21839778202496468, Validation Accuracy: 0.903
Epoch 6/200, Training Loss: 0.2199915177514106, Validation Loss: 0.21704369692501427, Validation Accuracy: 0.903723
Epoch 7/200, Training Loss: 0.2182983530670628, Validation Loss: 0.2151740869591534, Validation Accuracy: 0.904536
Epoch 8/200, Training Loss: 0.21677991893795132, Validation Loss: 0.21419435502934456, Validation Accuracy: 0.9048625
Epoch 9/200, Training Loss: 0.21563346051194893, Validation Loss: 0.21325041149164736, Validation Accuracy: 0.9053965
Epoch 10/200, Training Loss: 0.21454153901619463, Validation Loss: 0.21250054919487238, Validation Accuracy: 0.905843
Epoch 11/200, Training Loss: 0.21372060989385097, Validation Loss: 0.21185731660090387, Validation Accuracy: 0.90626
Epoch 12/200, Training Loss: 0.2128972149387747, Validation Loss: 0.21078439099496604, Validation Accuracy: 0.9069525
Epoch 13/200, Training Loss: 0.21205631246097387, Validation Loss: 0.21009568944784998, Validation Accuracy: 0.9073315
Epoch 14/200, Training Loss: 0.2114607448545769, Validation Loss: 0.20954269727841018, Validation Accuracy: 0.9076125
Epoch 15/200, Training Loss: 0.2109966477394402, Validation Loss: 0.20921041414830088, Validation Accuracy: 0.907731
Epoch 16/200, Training Loss: 0.2106320361176394, Validation Loss: 0.2090584427793622, Validation Accuracy: 0.907718
Epoch 17/200, Training Loss: 0.2103508802873455, Validation Loss: 0.20879827061502634, Validation Accuracy: 0.907941
Epoch 18/200, Training Loss: 0.21012190521579982, Validation Loss: 0.20873100974512102, Validation Accuracy: 0.908092
Epoch 19/200, Training Loss: 0.20993823481835425, Validation Loss: 0.20839688019129635, Validation Accuracy: 0.908172
Epoch 20/200, Training Loss: 0.20978054677298666, Validation Loss: 0.20838497221787275, Validation Accuracy: 0.9081845
Epoch 21/200, Training Loss: 0.20964970176031442, Validation Loss: 0.2083197134553194, Validation Accuracy: 0.908199
Epoch 22/200, Training Loss: 0.2095257150808163, Validation Loss: 0.20836876356826722, Validation Accuracy: 0.9081525
Epoch 23/200, Training Loss: 0.209252682143908, Validation Loss: 0.20822767886272073, Validation Accuracy: 0.9082295
Epoch 24/200, Training Loss: 0.20897867213169857, Validation Loss: 0.2082271920606047, Validation Accuracy: 0.908209
Epoch 25/200, Training Loss: 0.2087909683289379, Validation Loss: 0.20806297532522677, Validation Accuracy: 0.908277
Epoch 26/200, Training Loss: 0.20859815081433952, Validation Loss: 0.20798885216715932, Validation Accuracy: 0.9083675
Epoch 27/200, Training Loss: 0.20829995427586884, Validation Loss: 0.20778014372636378, Validation Accuracy: 0.908562
Epoch 28/200, Training Loss: 0.20793941814574227, Validation Loss: 0.2075353087785095, Validation Accuracy: 0.908679
Epoch 29/200, Training Loss: 0.2076864929930456, Validation Loss: 0.20711109073477985, Validation Accuracy: 0.908703
Epoch 30/200, Training Loss: 0.20734661643006652, Validation Loss: 0.2070870329028368, Validation Accuracy: 0.9087105
Epoch 31/200, Training Loss: 0.20716509552337975, Validation Loss: 0.2072048664571792, Validation Accuracy: 0.9087425
Epoch 32/200, Training Loss: 0.20705039721235632, Validation Loss: 0.2070713819360733, Validation Accuracy: 0.9088395
Epoch 33/200, Training Loss: 0.20697422909278423, Validation Loss: 0.20691221843615173, Validation Accuracy: 0.908932
Epoch 34/200, Training Loss: 0.20690170330446214, Validation Loss: 0.20683314566341043, Validation Accuracy: 0.909071
Epoch 35/200, Training Loss: 0.20685355145690218, Validation Loss: 0.2066278796643317, Validation Accuracy: 0.909098
Epoch 36/200, Training Loss: 0.2068036934278831, Validation Loss: 0.20668733783584833, Validation Accuracy: 0.909196
Epoch 37/200, Training Loss: 0.2067678609071821, Validation Loss: 0.20667862860158087, Validation Accuracy: 0.909091
Epoch 38/200, Training Loss: 0.2067232434544973, Validation Loss: 0.20670177187666297, Validation Accuracy: 0.9092435
Epoch 39/200, Training Loss: 0.20668132230431213, Validation Loss: 0.20678398875191809, Validation Accuracy: 0.9092115
Epoch 40/200, Training Loss: 0.20663470166469367, Validation Loss: 0.2067356105246544, Validation Accuracy: 0.909093
Epoch 41/200, Training Loss: 0.2066014806936346, Validation Loss: 0.20680332290139794, Validation Accuracy: 0.9091955
Epoch 42/200, Training Loss: 0.20657143918040022, Validation Loss: 0.20689245371869205, Validation Accuracy: 0.90917
Epoch 43/200, Training Loss: 0.20653574591702223, Validation Loss: 0.20685974910262228, Validation Accuracy: 0.9091335
Epoch 44/200, Training Loss: 0.20650199734158814, Validation Loss: 0.20688290045046806, Validation Accuracy: 0.9091465
Epoch 45/200, Training Loss: 0.20646284465039522, Validation Loss: 0.20706005574589967, Validation Accuracy: 0.90914
Epoch 46/200, Training Loss: 0.20643460720288753, Validation Loss: 0.2068256673592329, Validation Accuracy: 0.9093475
Epoch 47/200, Training Loss: 0.20640562454430014, Validation Loss: 0.20688803709852696, Validation Accuracy: 0.909302
Epoch 48/200, Training Loss: 0.20636064884718136, Validation Loss: 0.20680923718705774, Validation Accuracy: 0.909405
Epoch 49/200, Training Loss: 0.20632589259480313, Validation Loss: 0.2068477878253758, Validation Accuracy: 0.909395
Epoch 50/200, Training Loss: 0.20628973577990756, Validation Loss: 0.20671476703515648, Validation Accuracy: 0.909377
Epoch 51/200, Training Loss: 0.20625342446957157, Validation Loss: 0.2066194698907137, Validation Accuracy: 0.909456
Epoch 52/200, Training Loss: 0.20621067011415958, Validation Loss: 0.2063544130535722, Validation Accuracy: 0.909468
