Epoch 1/200, Training Loss: 0.1796887479523853, Validation Loss: 0.11367356386809303, Validation Accuracy: 0.949846, Estimated Remaining Time: 03:51:01
Epoch 2/200, Training Loss: 0.10238427393352947, Validation Loss: 0.09234425108939313, Validation Accuracy: 0.95977, Estimated Remaining Time: 03:48:57
Epoch 3/200, Training Loss: 0.08933838639094488, Validation Loss: 0.08669979191911868, Validation Accuracy: 0.962104, Estimated Remaining Time: 03:47:33
Epoch 4/200, Training Loss: 0.08371328758363872, Validation Loss: 0.07966570163401551, Validation Accuracy: 0.965219, Estimated Remaining Time: 03:44:37
Epoch 5/200, Training Loss: 0.08005829634448831, Validation Loss: 0.07941505999658435, Validation Accuracy: 0.965416, Estimated Remaining Time: 03:41:27
Epoch 6/200, Training Loss: 0.07758617380463777, Validation Loss: 0.07614788696312676, Validation Accuracy: 0.966861, Estimated Remaining Time: 03:39:03
Epoch 7/200, Training Loss: 0.07552253790901642, Validation Loss: 0.07354880258821832, Validation Accuracy: 0.968288, Estimated Remaining Time: 03:36:57
Epoch 8/200, Training Loss: 0.07390275942952956, Validation Loss: 0.0747196126622133, Validation Accuracy: 0.967702, Estimated Remaining Time: 03:35:10
Epoch 9/200, Training Loss: 0.07285131407200421, Validation Loss: 0.07605723756999254, Validation Accuracy: 0.96739, Estimated Remaining Time: 03:33:36
Epoch 10/200, Training Loss: 0.07185083103935319, Validation Loss: 0.0741370387565785, Validation Accuracy: 0.968522, Estimated Remaining Time: 03:32:12
Epoch 11/200, Training Loss: 0.0708752049393409, Validation Loss: 0.07432340189052847, Validation Accuracy: 0.967947, Estimated Remaining Time: 03:30:51
Epoch 12/200, Training Loss: 0.07004813137843309, Validation Loss: 0.0712917154184736, Validation Accuracy: 0.969358, Estimated Remaining Time: 03:29:30
Epoch 13/200, Training Loss: 0.06949703398147725, Validation Loss: 0.07592962552516605, Validation Accuracy: 0.967653, Estimated Remaining Time: 03:28:09
Epoch 14/200, Training Loss: 0.06886184146019263, Validation Loss: 0.07543201544604743, Validation Accuracy: 0.968061, Estimated Remaining Time: 03:26:53
Epoch 15/200, Training Loss: 0.06816895071309824, Validation Loss: 0.07040097155033971, Validation Accuracy: 0.970338, Estimated Remaining Time: 03:25:38
Epoch 16/200, Training Loss: 0.06799530390871195, Validation Loss: 0.06913995658294461, Validation Accuracy: 0.970229, Estimated Remaining Time: 03:24:23
Epoch 17/200, Training Loss: 0.06776398686917914, Validation Loss: 0.07257995212944551, Validation Accuracy: 0.969435, Estimated Remaining Time: 03:23:08
Epoch 18/200, Training Loss: 0.06705054163222969, Validation Loss: 0.07506606507653626, Validation Accuracy: 0.967622, Estimated Remaining Time: 03:21:55
Epoch 19/200, Training Loss: 0.06747776978022468, Validation Loss: 0.07290811842670455, Validation Accuracy: 0.968222, Estimated Remaining Time: 03:20:45
Epoch 20/200, Training Loss: 0.06709070354859006, Validation Loss: 0.07313076622141436, Validation Accuracy: 0.968634, Estimated Remaining Time: 03:19:34
Epoch 21/200, Training Loss: 0.06680058295266764, Validation Loss: 0.07377172054383702, Validation Accuracy: 0.968618, Estimated Remaining Time: 03:18:27
Epoch 22/200, Training Loss: 0.06649589323903206, Validation Loss: 0.07291075775322442, Validation Accuracy: 0.968611, Estimated Remaining Time: 03:17:26
Epoch 23/200, Training Loss: 0.06648964558023174, Validation Loss: 0.07184745989049586, Validation Accuracy: 0.968809, Estimated Remaining Time: 03:16:25
Epoch 24/200, Training Loss: 0.06631276517354251, Validation Loss: 0.07437374382116162, Validation Accuracy: 0.967889, Estimated Remaining Time: 03:15:24
Epoch 25/200, Training Loss: 0.06644791174630996, Validation Loss: 0.07187500477027588, Validation Accuracy: 0.969636, Estimated Remaining Time: 03:14:21
Epoch 26/200, Training Loss: 0.06708570450300684, Validation Loss: 0.08182458919934191, Validation Accuracy: 0.965215, Estimated Remaining Time: 03:13:18
Epoch 27/200, Training Loss: 0.06682286860862958, Validation Loss: 0.07036318707342346, Validation Accuracy: 0.970205, Estimated Remaining Time: 03:12:14
Epoch 28/200, Training Loss: 0.06611658570777468, Validation Loss: 0.06963937674848417, Validation Accuracy: 0.970625, Estimated Remaining Time: 03:11:04
Epoch 29/200, Training Loss: 0.06627574533759129, Validation Loss: 0.07749772505067028, Validation Accuracy: 0.967569, Estimated Remaining Time: 03:09:59
Epoch 30/200, Training Loss: 0.06794093521043706, Validation Loss: 0.1023900789289048, Validation Accuracy: 0.959034, Estimated Remaining Time: 03:08:55
Epoch 31/200, Training Loss: 0.07225848273120866, Validation Loss: 0.08128481970046655, Validation Accuracy: 0.966595, Estimated Remaining Time: 03:07:52
Epoch 32/200, Training Loss: 0.06577381554830765, Validation Loss: 0.06965150923346178, Validation Accuracy: 0.970626, Estimated Remaining Time: 03:06:48
Epoch 33/200, Training Loss: 0.06509307799731714, Validation Loss: 0.07192724707503668, Validation Accuracy: 0.968566, Estimated Remaining Time: 03:05:44
Epoch 34/200, Training Loss: 0.06853525871473871, Validation Loss: 0.07211686667209616, Validation Accuracy: 0.971536, Estimated Remaining Time: 03:04:38
Epoch 35/200, Training Loss: 0.06536966826736271, Validation Loss: 0.07057094076475777, Validation Accuracy: 0.971137, Estimated Remaining Time: 03:03:31
Epoch 36/200, Training Loss: 0.06532725549166922, Validation Loss: 0.07239830052367034, Validation Accuracy: 0.970412, Estimated Remaining Time: 03:02:21
Epoch 37/200, Training Loss: 0.0661516767862616, Validation Loss: 0.0746936836300757, Validation Accuracy: 0.97209, Estimated Remaining Time: 03:01:13
Epoch 38/200, Training Loss: 0.06609111790831006, Validation Loss: 0.06613590823004421, Validation Accuracy: 0.972224, Estimated Remaining Time: 03:00:05
Epoch 39/200, Training Loss: 0.06749649317534505, Validation Loss: 0.06556776755105573, Validation Accuracy: 0.972545, Estimated Remaining Time: 02:58:57
Epoch 40/200, Training Loss: 0.07109134820668332, Validation Loss: 0.06376010898393564, Validation Accuracy: 0.973372, Estimated Remaining Time: 02:57:49
Epoch 41/200, Training Loss: 0.06601648584506158, Validation Loss: 0.06769755865914372, Validation Accuracy: 0.97209, Estimated Remaining Time: 02:56:42
Epoch 42/200, Training Loss: 0.07055342087235436, Validation Loss: 0.06673718730624491, Validation Accuracy: 0.972458, Estimated Remaining Time: 02:55:35
Epoch 43/200, Training Loss: 0.06528664819056607, Validation Loss: 0.06561732467133016, Validation Accuracy: 0.972843, Estimated Remaining Time: 02:54:26
Epoch 44/200, Training Loss: 0.06458929669372857, Validation Loss: 0.06333346506610465, Validation Accuracy: 0.97358, Estimated Remaining Time: 02:53:17
Epoch 45/200, Training Loss: 0.06391819642238926, Validation Loss: 0.06356890037798653, Validation Accuracy: 0.973608, Estimated Remaining Time: 02:52:08
Epoch 46/200, Training Loss: 0.08127656705092164, Validation Loss: 0.07145856036402928, Validation Accuracy: 0.970817, Estimated Remaining Time: 02:50:59
Epoch 47/200, Training Loss: 0.08240050957973555, Validation Loss: 0.08509335569299448, Validation Accuracy: 0.968223, Estimated Remaining Time: 02:49:52
Epoch 48/200, Training Loss: 0.07189735976420938, Validation Loss: 0.0684218276470614, Validation Accuracy: 0.972036, Estimated Remaining Time: 02:48:44
Epoch 49/200, Training Loss: 0.07236703734618466, Validation Loss: 0.07136473125114609, Validation Accuracy: 0.970682, Estimated Remaining Time: 02:47:35
Epoch 50/200, Training Loss: 0.07034885365127924, Validation Loss: 0.06901278615759585, Validation Accuracy: 0.9717, Estimated Remaining Time: 02:46:26
Epoch 51/200, Training Loss: 0.07485374879427029, Validation Loss: 0.06703874315269077, Validation Accuracy: 0.97231, Estimated Remaining Time: 02:45:17
Epoch 52/200, Training Loss: 0.06951115118823693, Validation Loss: 0.07515192951876135, Validation Accuracy: 0.969669, Estimated Remaining Time: 02:44:08
Epoch 53/200, Training Loss: 0.07441352269921149, Validation Loss: 0.06733236807032515, Validation Accuracy: 0.972421, Estimated Remaining Time: 02:43:00
Epoch 54/200, Training Loss: 0.06800248562876457, Validation Loss: 0.06709215725763157, Validation Accuracy: 0.972918, Estimated Remaining Time: 02:41:51
Epoch 55/200, Training Loss: 0.06978181780306335, Validation Loss: 0.06548915448756264, Validation Accuracy: 0.973292, Estimated Remaining Time: 02:40:43
Epoch 56/200, Training Loss: 0.0680570618759005, Validation Loss: 0.06571961606082063, Validation Accuracy: 0.97318, Estimated Remaining Time: 02:39:35
Epoch 57/200, Training Loss: 0.07941913948130488, Validation Loss: 0.11375446587848587, Validation Accuracy: 0.970519, Estimated Remaining Time: 02:38:26
Epoch 58/200, Training Loss: 0.06906803750055268, Validation Loss: 0.06791871385023998, Validation Accuracy: 0.972292, Estimated Remaining Time: 02:37:19
Epoch 59/200, Training Loss: 0.07006641657320452, Validation Loss: 0.09835355395611864, Validation Accuracy: 0.959861, Estimated Remaining Time: 02:36:12
Epoch 60/200, Training Loss: 0.07507471113051548, Validation Loss: 0.06559413736953904, Validation Accuracy: 0.973212, Estimated Remaining Time: 02:35:05
Epoch 61/200, Training Loss: 0.06869846711135869, Validation Loss: 0.06925215814917232, Validation Accuracy: 0.971983, Estimated Remaining Time: 02:33:57
Epoch 62/200, Training Loss: 0.06932485650680559, Validation Loss: 0.06602968338627023, Validation Accuracy: 0.972932, Estimated Remaining Time: 02:32:50
Epoch 63/200, Training Loss: 0.0758709756639603, Validation Loss: 0.07104748511276306, Validation Accuracy: 0.973447, Estimated Remaining Time: 02:31:42
Epoch 64/200, Training Loss: 0.07419466683783439, Validation Loss: 0.07357770103378036, Validation Accuracy: 0.97207, Estimated Remaining Time: 02:30:35
Epoch 65/200, Training Loss: 0.07641126277700591, Validation Loss: 0.06349361445100163, Validation Accuracy: 0.97386, Estimated Remaining Time: 02:29:28
Epoch 66/200, Training Loss: 0.10033285771183725, Validation Loss: 0.06750598433204352, Validation Accuracy: 0.972825, Estimated Remaining Time: 02:28:22
Epoch 67/200, Training Loss: 0.06769261034016841, Validation Loss: 0.06627484334829135, Validation Accuracy: 0.973886, Estimated Remaining Time: 02:27:14
Epoch 68/200, Training Loss: 0.07912369075880499, Validation Loss: 0.06546454502942083, Validation Accuracy: 0.973308, Estimated Remaining Time: 02:26:07
Epoch 69/200, Training Loss: 0.08623790272689993, Validation Loss: 0.06843894580825449, Validation Accuracy: 0.972838, Estimated Remaining Time: 02:25:00
Epoch 70/200, Training Loss: 0.09117787276913465, Validation Loss: 0.06801493029101208, Validation Accuracy: 0.971638, Estimated Remaining Time: 02:23:52
Epoch 71/200, Training Loss: 0.06862409361080263, Validation Loss: 0.06561998300516186, Validation Accuracy: 0.973295, Estimated Remaining Time: 02:22:44
Epoch 72/200, Training Loss: 0.08189530363667279, Validation Loss: 0.07664985909534339, Validation Accuracy: 0.96914, Estimated Remaining Time: 02:21:36
Epoch 73/200, Training Loss: 0.07409595013581219, Validation Loss: 0.0680099071952672, Validation Accuracy: 0.972417, Estimated Remaining Time: 02:20:28
Epoch 74/200, Training Loss: 0.06923877104184528, Validation Loss: 0.06674586626858757, Validation Accuracy: 0.973063, Estimated Remaining Time: 02:19:20
Epoch 75/200, Training Loss: 0.13919066774026168, Validation Loss: 0.0715373418273065, Validation Accuracy: 0.971717, Estimated Remaining Time: 02:18:12
