Epoch 1/200, Training Loss: 0.19059685582723476, Validation Loss: 0.1354699779194765, Validation Accuracy: 0.941501, Estimated Remaining Time: 03:35:14
Epoch 2/200, Training Loss: 0.12226889505214297, Validation Loss: 0.10957194471987672, Validation Accuracy: 0.953115, Estimated Remaining Time: 03:33:10
Epoch 3/200, Training Loss: 0.10630008804493005, Validation Loss: 0.10404263889065947, Validation Accuracy: 0.95601, Estimated Remaining Time: 03:31:39
Epoch 4/200, Training Loss: 0.09924353004942744, Validation Loss: 0.09617360293293914, Validation Accuracy: 0.959287, Estimated Remaining Time: 03:30:19
Epoch 5/200, Training Loss: 0.09491477823802004, Validation Loss: 0.09184052119144616, Validation Accuracy: 0.961133, Estimated Remaining Time: 03:29:07
Epoch 6/200, Training Loss: 0.09210097342941459, Validation Loss: 0.08968587250660022, Validation Accuracy: 0.96218, Estimated Remaining Time: 03:27:58
Epoch 7/200, Training Loss: 0.08982432870690271, Validation Loss: 0.08976702932446909, Validation Accuracy: 0.961999, Estimated Remaining Time: 03:26:50
Epoch 8/200, Training Loss: 0.08817040135999867, Validation Loss: 0.08834395495752176, Validation Accuracy: 0.962735, Estimated Remaining Time: 03:25:43
Epoch 9/200, Training Loss: 0.08674814938238157, Validation Loss: 0.08697730640824229, Validation Accuracy: 0.963365, Estimated Remaining Time: 03:24:59
Epoch 10/200, Training Loss: 0.08544196941453792, Validation Loss: 0.08402152647511266, Validation Accuracy: 0.964481, Estimated Remaining Time: 03:24:43
Epoch 11/200, Training Loss: 0.08434134971786131, Validation Loss: 0.08543083069328301, Validation Accuracy: 0.963732, Estimated Remaining Time: 03:23:48
Epoch 12/200, Training Loss: 0.08349322702721095, Validation Loss: 0.08414022898236022, Validation Accuracy: 0.964243, Estimated Remaining Time: 03:22:51
Epoch 13/200, Training Loss: 0.08286253526843912, Validation Loss: 0.08228794518655862, Validation Accuracy: 0.96504, Estimated Remaining Time: 03:21:59
Epoch 14/200, Training Loss: 0.08233779657418898, Validation Loss: 0.0837153978288745, Validation Accuracy: 0.964534, Estimated Remaining Time: 03:21:05
Epoch 15/200, Training Loss: 0.0817126196117491, Validation Loss: 0.08288425626084446, Validation Accuracy: 0.964989, Estimated Remaining Time: 03:20:01
Epoch 16/200, Training Loss: 0.08112978278117972, Validation Loss: 0.08322134464027021, Validation Accuracy: 0.964758, Estimated Remaining Time: 03:18:54
Epoch 17/200, Training Loss: 0.08073952810364053, Validation Loss: 0.08342515198757854, Validation Accuracy: 0.964844, Estimated Remaining Time: 03:17:46
Epoch 18/200, Training Loss: 0.0803249162120875, Validation Loss: 0.08328507116998728, Validation Accuracy: 0.964937, Estimated Remaining Time: 03:16:41
Epoch 19/200, Training Loss: 0.08003875041506997, Validation Loss: 0.08207902226585169, Validation Accuracy: 0.965203, Estimated Remaining Time: 03:15:34
Epoch 20/200, Training Loss: 0.07971655922934248, Validation Loss: 0.08181652498130981, Validation Accuracy: 0.965552, Estimated Remaining Time: 03:14:31
Epoch 21/200, Training Loss: 0.0795065357452116, Validation Loss: 0.08148728080165273, Validation Accuracy: 0.965686, Estimated Remaining Time: 03:13:27
Epoch 22/200, Training Loss: 0.07923578880555131, Validation Loss: 0.08108151058990734, Validation Accuracy: 0.96565, Estimated Remaining Time: 03:12:21
Epoch 23/200, Training Loss: 0.07893938013414366, Validation Loss: 0.08105155290030062, Validation Accuracy: 0.96561, Estimated Remaining Time: 03:11:26
Epoch 24/200, Training Loss: 0.07880482392122726, Validation Loss: 0.07965140158947283, Validation Accuracy: 0.966117, Estimated Remaining Time: 03:10:37
Epoch 25/200, Training Loss: 0.07856253648843581, Validation Loss: 0.08016696825813942, Validation Accuracy: 0.966022, Estimated Remaining Time: 03:09:33
Epoch 26/200, Training Loss: 0.07845928430043418, Validation Loss: 0.07952252251747698, Validation Accuracy: 0.966392, Estimated Remaining Time: 03:08:43
Epoch 27/200, Training Loss: 0.07830375929850088, Validation Loss: 0.07974402054239767, Validation Accuracy: 0.966141, Estimated Remaining Time: 03:07:39
Epoch 28/200, Training Loss: 0.07806205253821652, Validation Loss: 0.07937906503963013, Validation Accuracy: 0.966451, Estimated Remaining Time: 03:06:36
Epoch 29/200, Training Loss: 0.07799104183589145, Validation Loss: 0.08016275971556625, Validation Accuracy: 0.966179, Estimated Remaining Time: 03:05:28
Epoch 30/200, Training Loss: 0.07789671838871534, Validation Loss: 0.0805862780434255, Validation Accuracy: 0.965961, Estimated Remaining Time: 03:04:20
Epoch 31/200, Training Loss: 0.07778647508627148, Validation Loss: 0.07938347366480782, Validation Accuracy: 0.966483, Estimated Remaining Time: 03:03:12
Epoch 32/200, Training Loss: 0.07767719054482732, Validation Loss: 0.08026639193582077, Validation Accuracy: 0.966113, Estimated Remaining Time: 03:02:07
Epoch 33/200, Training Loss: 0.0776610093683248, Validation Loss: 0.08028663942417778, Validation Accuracy: 0.966162, Estimated Remaining Time: 03:01:08
Epoch 34/200, Training Loss: 0.07749943914328272, Validation Loss: 0.07994847085338812, Validation Accuracy: 0.966157, Estimated Remaining Time: 03:00:12
Epoch 35/200, Training Loss: 0.07738749213169742, Validation Loss: 0.07939233597570335, Validation Accuracy: 0.966372, Estimated Remaining Time: 02:59:07
Epoch 36/200, Training Loss: 0.07731094869787991, Validation Loss: 0.07946320804068074, Validation Accuracy: 0.966314, Estimated Remaining Time: 02:58:00
Epoch 37/200, Training Loss: 0.07717356228008417, Validation Loss: 0.07883516120644042, Validation Accuracy: 0.966592, Estimated Remaining Time: 02:56:54
Epoch 38/200, Training Loss: 0.07713866248922843, Validation Loss: 0.07879782210999785, Validation Accuracy: 0.966604, Estimated Remaining Time: 02:55:54
Epoch 39/200, Training Loss: 0.07692038278180512, Validation Loss: 0.0781087588292722, Validation Accuracy: 0.966881, Estimated Remaining Time: 02:55:00
Epoch 40/200, Training Loss: 0.07678366659710384, Validation Loss: 0.07836081308964342, Validation Accuracy: 0.966915, Estimated Remaining Time: 02:54:05
Epoch 41/200, Training Loss: 0.07659980673654157, Validation Loss: 0.07765789663258452, Validation Accuracy: 0.967079, Estimated Remaining Time: 02:53:00
Epoch 42/200, Training Loss: 0.07646624451530307, Validation Loss: 0.07745143887810052, Validation Accuracy: 0.967359, Estimated Remaining Time: 02:51:54
Epoch 43/200, Training Loss: 0.07638494607883546, Validation Loss: 0.07669047480478836, Validation Accuracy: 0.96757, Estimated Remaining Time: 02:50:48
Epoch 44/200, Training Loss: 0.0763519816378703, Validation Loss: 0.07731335529218467, Validation Accuracy: 0.967312, Estimated Remaining Time: 02:49:42
Epoch 45/200, Training Loss: 0.07625528595152378, Validation Loss: 0.07702397658659246, Validation Accuracy: 0.967384, Estimated Remaining Time: 02:48:43
Epoch 46/200, Training Loss: 0.07625173277678839, Validation Loss: 0.07687479762223581, Validation Accuracy: 0.967313, Estimated Remaining Time: 02:47:46
Epoch 47/200, Training Loss: 0.07618495382678454, Validation Loss: 0.07660745024776307, Validation Accuracy: 0.967441, Estimated Remaining Time: 02:46:42
Epoch 48/200, Training Loss: 0.07607716727846889, Validation Loss: 0.07728661142123013, Validation Accuracy: 0.967333, Estimated Remaining Time: 02:45:38
Epoch 49/200, Training Loss: 0.07598594256563836, Validation Loss: 0.0772042975734217, Validation Accuracy: 0.967275, Estimated Remaining Time: 02:44:33
Epoch 50/200, Training Loss: 0.07594269451443894, Validation Loss: 0.07723127489986892, Validation Accuracy: 0.967497, Estimated Remaining Time: 02:43:27
Epoch 51/200, Training Loss: 0.07592026799138525, Validation Loss: 0.07675600954042837, Validation Accuracy: 0.967579, Estimated Remaining Time: 02:42:19
Epoch 52/200, Training Loss: 0.07583884180911148, Validation Loss: 0.07785222940027904, Validation Accuracy: 0.967202, Estimated Remaining Time: 02:41:11
Epoch 53/200, Training Loss: 0.075818052496185, Validation Loss: 0.07754906124105088, Validation Accuracy: 0.967158, Estimated Remaining Time: 02:40:03
Epoch 54/200, Training Loss: 0.07572854358611521, Validation Loss: 0.07647757573773305, Validation Accuracy: 0.967528, Estimated Remaining Time: 02:38:56
Epoch 55/200, Training Loss: 0.07563539093424534, Validation Loss: 0.0770115551833337, Validation Accuracy: 0.967302, Estimated Remaining Time: 02:37:48
Epoch 56/200, Training Loss: 0.07561560557844628, Validation Loss: 0.07722249112951869, Validation Accuracy: 0.967282, Estimated Remaining Time: 02:36:40
Epoch 57/200, Training Loss: 0.07556234855685547, Validation Loss: 0.07688026816938251, Validation Accuracy: 0.967355, Estimated Remaining Time: 02:35:33
Epoch 58/200, Training Loss: 0.07553342009778341, Validation Loss: 0.07715814072674455, Validation Accuracy: 0.967289, Estimated Remaining Time: 02:34:25
Epoch 59/200, Training Loss: 0.07536071759423157, Validation Loss: 0.0770821355211849, Validation Accuracy: 0.967357, Estimated Remaining Time: 02:33:18
Epoch 60/200, Training Loss: 0.07535418494741263, Validation Loss: 0.0771316056624769, Validation Accuracy: 0.967361, Estimated Remaining Time: 02:32:11
Epoch 61/200, Training Loss: 0.07536604419652568, Validation Loss: 0.0771549336683636, Validation Accuracy: 0.967395, Estimated Remaining Time: 02:31:04
Epoch 62/200, Training Loss: 0.07533875247612569, Validation Loss: 0.07619057571926056, Validation Accuracy: 0.967812, Estimated Remaining Time: 02:29:58
