Epoch 1/30, Training Loss: 0.12692903122896915, Validation Loss: 0.09467470312225308, Validation Accuracy: 0.958559, Estimated Remaining Time: 02:38:58
Epoch 2/30, Training Loss: 0.0899911866827497, Validation Loss: 0.08397899047541298, Validation Accuracy: 0.9634058, Estimated Remaining Time: 02:33:25
Epoch 3/30, Training Loss: 0.08342234402272988, Validation Loss: 0.07878797958466158, Validation Accuracy: 0.965626, Estimated Remaining Time: 02:27:45
Epoch 4/30, Training Loss: 0.08011337971851343, Validation Loss: 0.07515192131725779, Validation Accuracy: 0.9672792, Estimated Remaining Time: 02:22:07
Epoch 5/30, Training Loss: 0.07785908177904008, Validation Loss: 0.0759817346768431, Validation Accuracy: 0.9670054, Estimated Remaining Time: 02:16:35
Epoch 6/30, Training Loss: 0.07653813412971808, Validation Loss: 0.0744042549275162, Validation Accuracy: 0.9676996, Estimated Remaining Time: 02:10:59
Epoch 7/30, Training Loss: 0.07972763938278178, Validation Loss: 0.07619317739925473, Validation Accuracy: 0.967064, Estimated Remaining Time: 02:05:26
Epoch 8/30, Training Loss: 0.07700562407363616, Validation Loss: 0.07745004649335424, Validation Accuracy: 0.9668298, Estimated Remaining Time: 01:59:50
Epoch 9/30, Training Loss: 0.0826635478492364, Validation Loss: 0.08288690443517151, Validation Accuracy: 0.9662696, Estimated Remaining Time: 01:54:15
Epoch 10/30, Training Loss: 0.08172228076779799, Validation Loss: 0.09183907407316273, Validation Accuracy: 0.9615244, Estimated Remaining Time: 01:48:41
Epoch 11/30, Training Loss: 0.08016676249167051, Validation Loss: 0.07495607076044733, Validation Accuracy: 0.9688368, Estimated Remaining Time: 01:43:10
Epoch 12/30, Training Loss: 0.07942759421925105, Validation Loss: 0.07809146543963552, Validation Accuracy: 0.966972, Estimated Remaining Time: 01:37:41
Epoch 13/30, Training Loss: 0.07835353728459805, Validation Loss: 0.07325792039720126, Validation Accuracy: 0.9689438, Estimated Remaining Time: 01:32:14
Epoch 14/30, Training Loss: 0.0796803551959354, Validation Loss: 0.08838513247091954, Validation Accuracy: 0.9629452, Estimated Remaining Time: 01:26:48
Epoch 15/30, Training Loss: 0.08204055943317123, Validation Loss: 0.07549501394689731, Validation Accuracy: 0.9690228, Estimated Remaining Time: 01:21:34
Epoch 16/30, Training Loss: 0.07994306554671737, Validation Loss: 0.07147302989319435, Validation Accuracy: 0.9700744, Estimated Remaining Time: 01:16:15
Epoch 17/30, Training Loss: 0.08752856975694025, Validation Loss: 0.09271052735723598, Validation Accuracy: 0.9620076, Estimated Remaining Time: 01:10:46
Epoch 18/30, Training Loss: 0.1656628121944886, Validation Loss: 0.07936775618097527, Validation Accuracy: 0.9668994, Estimated Remaining Time: 01:05:19
Epoch 19/30, Training Loss: 0.08461890802897838, Validation Loss: 0.08010028595592224, Validation Accuracy: 0.9690002, Estimated Remaining Time: 00:59:50
Epoch 20/30, Training Loss: 0.16086472169784397, Validation Loss: 0.2753761489080147, Validation Accuracy: 0.953561, Estimated Remaining Time: 00:54:21
Epoch 21/30, Training Loss: 0.10899517715214616, Validation Loss: 0.07926083869054694, Validation Accuracy: 0.967616, Estimated Remaining Time: 00:48:53
Epoch 22/30, Training Loss: 0.44338167633209385, Validation Loss: 0.4613227858157472, Validation Accuracy: 0.775053, Estimated Remaining Time: 00:43:26
Epoch 23/30, Training Loss: 0.6734874369553394, Validation Loss: 0.500404547001411, Validation Accuracy: 0.7346184, Estimated Remaining Time: 00:38:00
Epoch 24/30, Training Loss: 0.7650186702972506, Validation Loss: 0.7580266535015192, Validation Accuracy: 0.7615846, Estimated Remaining Time: 00:32:37
Epoch 25/30, Training Loss: 1.0959284681942592, Validation Loss: 0.6315847509805773, Validation Accuracy: 0.7338096, Estimated Remaining Time: 00:27:14
Epoch 26/30, Training Loss: 1.1967081630657181, Validation Loss: 1.317542931855068, Validation Accuracy: 0.785474, Estimated Remaining Time: 00:21:49
Epoch 27/30, Training Loss: 1.5255855273481607, Validation Loss: 1.194671735272374, Validation Accuracy: 0.7814234, Estimated Remaining Time: 00:16:23
Epoch 28/30, Training Loss: 1.1115237522589774, Validation Loss: 0.9854242905392833, Validation Accuracy: 0.7612308, Estimated Remaining Time: 00:10:56
Epoch 29/30, Training Loss: 1.5623773386762736, Validation Loss: 0.675159980872466, Validation Accuracy: 0.7252544, Estimated Remaining Time: 00:05:28
Epoch 30/30, Training Loss: 1.099784285565456, Validation Loss: 0.6364966384585058, Validation Accuracy: 0.6735758, Estimated Remaining Time: 00:00:00
