Epoch 1/200, Training Loss: 0.292809712586986, Validation Loss: 0.2673922883816801, Validation Accuracy: 0.880909
Epoch 2/200, Training Loss: 0.25751305744714087, Validation Loss: 0.25036189293328187, Validation Accuracy: 0.888166
Epoch 3/200, Training Loss: 0.24411260839081556, Validation Loss: 0.23863942264177548, Validation Accuracy: 0.893778
Epoch 4/200, Training Loss: 0.23791648849045047, Validation Loss: 0.23515559532962288, Validation Accuracy: 0.895152
Epoch 5/200, Training Loss: 0.23415055010206878, Validation Loss: 0.23298580139970626, Validation Accuracy: 0.895929
Epoch 6/200, Training Loss: 0.2319714544222442, Validation Loss: 0.2309658962031142, Validation Accuracy: 0.89692
Epoch 7/200, Training Loss: 0.2300451685536429, Validation Loss: 0.2288145361045679, Validation Accuracy: 0.8983
Epoch 8/200, Training Loss: 0.22803642615871925, Validation Loss: 0.2267253880207531, Validation Accuracy: 0.89921
Epoch 9/200, Training Loss: 0.22661213912109526, Validation Loss: 0.2250327742137848, Validation Accuracy: 0.899926
Epoch 10/200, Training Loss: 0.22515612343770516, Validation Loss: 0.22405983764713946, Validation Accuracy: 0.900725
Epoch 11/200, Training Loss: 0.22384333049026284, Validation Loss: 0.22298667867914937, Validation Accuracy: 0.901434
Epoch 12/200, Training Loss: 0.22253850816493775, Validation Loss: 0.2213597248632687, Validation Accuracy: 0.90227
Epoch 13/200, Training Loss: 0.2213931141472185, Validation Loss: 0.22025936289717213, Validation Accuracy: 0.902666
Epoch 14/200, Training Loss: 0.22069431961620994, Validation Loss: 0.2196461459318289, Validation Accuracy: 0.902902
Epoch 15/200, Training Loss: 0.2200500595370434, Validation Loss: 0.2190818289598337, Validation Accuracy: 0.903113
Epoch 16/200, Training Loss: 0.21922518538593863, Validation Loss: 0.21779023967802333, Validation Accuracy: 0.903711
Epoch 17/200, Training Loss: 0.21819217689533993, Validation Loss: 0.21681624979447253, Validation Accuracy: 0.904116
Epoch 18/200, Training Loss: 0.21755730468545398, Validation Loss: 0.21609973369505459, Validation Accuracy: 0.904336
Epoch 19/200, Training Loss: 0.2171110291202171, Validation Loss: 0.2159374440535189, Validation Accuracy: 0.904447
Epoch 20/200, Training Loss: 0.21673932592617928, Validation Loss: 0.21550044222190357, Validation Accuracy: 0.904714
Epoch 21/200, Training Loss: 0.21642989812798233, Validation Loss: 0.2150924637580451, Validation Accuracy: 0.904815
Epoch 22/200, Training Loss: 0.21611858115601362, Validation Loss: 0.21470502461678684, Validation Accuracy: 0.905046
Epoch 23/200, Training Loss: 0.21582156990267737, Validation Loss: 0.214380170638188, Validation Accuracy: 0.905248
Epoch 24/200, Training Loss: 0.21552465326880121, Validation Loss: 0.214285610773312, Validation Accuracy: 0.905364
Epoch 25/200, Training Loss: 0.21523633677680595, Validation Loss: 0.21395298952873523, Validation Accuracy: 0.905427
Epoch 26/200, Training Loss: 0.21492634581218528, Validation Loss: 0.21356995070513826, Validation Accuracy: 0.905496
Epoch 27/200, Training Loss: 0.2145948813260767, Validation Loss: 0.2133429877864667, Validation Accuracy: 0.905609
Epoch 28/200, Training Loss: 0.21429204152035536, Validation Loss: 0.2131292340568841, Validation Accuracy: 0.90549
Epoch 29/200, Training Loss: 0.21403026599880642, Validation Loss: 0.2128885986325078, Validation Accuracy: 0.905464
Epoch 30/200, Training Loss: 0.21379930516218232, Validation Loss: 0.21262854875657505, Validation Accuracy: 0.905667
Epoch 31/200, Training Loss: 0.21359586092212046, Validation Loss: 0.21245465906092914, Validation Accuracy: 0.90571
Epoch 32/200, Training Loss: 0.21340241895805168, Validation Loss: 0.2122461831036467, Validation Accuracy: 0.9059
Epoch 33/200, Training Loss: 0.21321438304838913, Validation Loss: 0.21220702132858787, Validation Accuracy: 0.905854
Epoch 34/200, Training Loss: 0.21302600207593236, Validation Loss: 0.21211217686581535, Validation Accuracy: 0.906
Epoch 35/200, Training Loss: 0.21286048092559864, Validation Loss: 0.2118738668795211, Validation Accuracy: 0.90612
Epoch 36/200, Training Loss: 0.2127000383802296, Validation Loss: 0.21167231458254135, Validation Accuracy: 0.906257
Epoch 37/200, Training Loss: 0.2125615654437092, Validation Loss: 0.21137244023454074, Validation Accuracy: 0.906312
Epoch 38/200, Training Loss: 0.21239833433116156, Validation Loss: 0.21112066959611142, Validation Accuracy: 0.906527
Epoch 39/200, Training Loss: 0.2122395223213861, Validation Loss: 0.2107430053785586, Validation Accuracy: 0.906738
Epoch 40/200, Training Loss: 0.21206785779256987, Validation Loss: 0.21042994816844074, Validation Accuracy: 0.906957
Epoch 41/200, Training Loss: 0.2118932714813594, Validation Loss: 0.21012977846323871, Validation Accuracy: 0.907155
Epoch 42/200, Training Loss: 0.21171611530518897, Validation Loss: 0.20990206639225872, Validation Accuracy: 0.907183
Epoch 43/200, Training Loss: 0.21152954405836477, Validation Loss: 0.20959983894619316, Validation Accuracy: 0.907366
Epoch 44/200, Training Loss: 0.21135240334486394, Validation Loss: 0.20938562585142093, Validation Accuracy: 0.907558
Epoch 45/200, Training Loss: 0.21118129720435294, Validation Loss: 0.2092060665733898, Validation Accuracy: 0.907516
Epoch 46/200, Training Loss: 0.21102008217706655, Validation Loss: 0.20904722167089723, Validation Accuracy: 0.907601
Epoch 47/200, Training Loss: 0.21087695950085356, Validation Loss: 0.2089383079887579, Validation Accuracy: 0.907661
Epoch 48/200, Training Loss: 0.21074254287971622, Validation Loss: 0.2087695064445654, Validation Accuracy: 0.90767
Epoch 49/200, Training Loss: 0.21063037338500085, Validation Loss: 0.20866851075388754, Validation Accuracy: 0.907692
Epoch 50/200, Training Loss: 0.2105116034863557, Validation Loss: 0.20850440445608986, Validation Accuracy: 0.907859
Epoch 51/200, Training Loss: 0.21041296914066235, Validation Loss: 0.20843058148512064, Validation Accuracy: 0.907796
Epoch 52/200, Training Loss: 0.21030920286789678, Validation Loss: 0.2083777297323885, Validation Accuracy: 0.907772
Epoch 53/200, Training Loss: 0.2102192427778939, Validation Loss: 0.20827257271391897, Validation Accuracy: 0.907853
Epoch 54/200, Training Loss: 0.21012307174829584, Validation Loss: 0.2082531486932462, Validation Accuracy: 0.907745
Epoch 55/200, Training Loss: 0.2100481186055476, Validation Loss: 0.20813484732716228, Validation Accuracy: 0.907851
Epoch 56/200, Training Loss: 0.20998039369137314, Validation Loss: 0.20802703433143446, Validation Accuracy: 0.907999
Epoch 57/200, Training Loss: 0.2099158086155472, Validation Loss: 0.20799073981591307, Validation Accuracy: 0.907901
Epoch 58/200, Training Loss: 0.20985767303032676, Validation Loss: 0.20790346599996282, Validation Accuracy: 0.907986
Epoch 59/200, Training Loss: 0.20980200588893858, Validation Loss: 0.20803112772326118, Validation Accuracy: 0.907845
Epoch 60/200, Training Loss: 0.20973860886950446, Validation Loss: 0.20808754575709565, Validation Accuracy: 0.907797
Epoch 61/200, Training Loss: 0.2096851127420165, Validation Loss: 0.2080048858738555, Validation Accuracy: 0.907843
Epoch 62/200, Training Loss: 0.20962410945931323, Validation Loss: 0.207893442041196, Validation Accuracy: 0.907899
Epoch 63/200, Training Loss: 0.20957633015993352, Validation Loss: 0.20790763132678816, Validation Accuracy: 0.907895
Epoch 64/200, Training Loss: 0.20951770692586982, Validation Loss: 0.2078536583211856, Validation Accuracy: 0.907933
Epoch 65/200, Training Loss: 0.20945916001986575, Validation Loss: 0.20786706641459238, Validation Accuracy: 0.907963
Epoch 66/200, Training Loss: 0.20939960911038336, Validation Loss: 0.20781234082893824, Validation Accuracy: 0.907957
Epoch 67/200, Training Loss: 0.20934745344113845, Validation Loss: 0.20761825553715801, Validation Accuracy: 0.908119
Epoch 68/200, Training Loss: 0.2092973879603699, Validation Loss: 0.20744959019814818, Validation Accuracy: 0.908194
