Epoch 1/200, Training Loss: 0.26112016645233466, Validation Loss: 0.2349781132400303, Validation Accuracy: 0.8946894
Epoch 2/200, Training Loss: 0.22883334515262257, Validation Loss: 0.22213420533096645, Validation Accuracy: 0.9004694
Epoch 3/200, Training Loss: 0.21970966013500348, Validation Loss: 0.21671865116840588, Validation Accuracy: 0.9033944
Epoch 4/200, Training Loss: 0.21584213089508072, Validation Loss: 0.2145656851988455, Validation Accuracy: 0.9045886
Epoch 5/200, Training Loss: 0.2141111181386799, Validation Loss: 0.2126400614120376, Validation Accuracy: 0.90549
Epoch 6/200, Training Loss: 0.21286491246940756, Validation Loss: 0.2114517480630716, Validation Accuracy: 0.9060372
Epoch 7/200, Training Loss: 0.2121123552432586, Validation Loss: 0.21071824036724507, Validation Accuracy: 0.9063722
Epoch 8/200, Training Loss: 0.21140402363466096, Validation Loss: 0.21001873694965645, Validation Accuracy: 0.9068096
Epoch 9/200, Training Loss: 0.21069576648630645, Validation Loss: 0.20948289424390726, Validation Accuracy: 0.90716
Epoch 10/200, Training Loss: 0.2101113561394882, Validation Loss: 0.20905585822506892, Validation Accuracy: 0.9074298
Epoch 11/200, Training Loss: 0.20953656060401674, Validation Loss: 0.208277285394574, Validation Accuracy: 0.907845
Epoch 12/200, Training Loss: 0.20905357843284408, Validation Loss: 0.20846633215554616, Validation Accuracy: 0.9078578
Epoch 13/200, Training Loss: 0.20856779198456496, Validation Loss: 0.20835273633267126, Validation Accuracy: 0.907856
Epoch 14/200, Training Loss: 0.20815296090934285, Validation Loss: 0.20775511447085224, Validation Accuracy: 0.9081884
Epoch 15/200, Training Loss: 0.20770922060233385, Validation Loss: 0.20760496156153127, Validation Accuracy: 0.9082724
Epoch 16/200, Training Loss: 0.20729191837567298, Validation Loss: 0.207467142561652, Validation Accuracy: 0.9083198
Epoch 17/200, Training Loss: 0.2069307980342533, Validation Loss: 0.20676884804485857, Validation Accuracy: 0.9084922
Epoch 18/200, Training Loss: 0.20665894207274227, Validation Loss: 0.20683557540654984, Validation Accuracy: 0.9085134
Epoch 19/200, Training Loss: 0.20642628400091645, Validation Loss: 0.20656080318999764, Validation Accuracy: 0.9087582
Epoch 20/200, Training Loss: 0.20615061598902176, Validation Loss: 0.2063232466378276, Validation Accuracy: 0.9090198
Epoch 21/200, Training Loss: 0.2058744987044151, Validation Loss: 0.20598526185548846, Validation Accuracy: 0.9090496
Epoch 22/200, Training Loss: 0.20563711364476261, Validation Loss: 0.20605548757699843, Validation Accuracy: 0.9091212
Epoch 23/200, Training Loss: 0.20544882000344564, Validation Loss: 0.20589796316905884, Validation Accuracy: 0.9091478
Epoch 24/200, Training Loss: 0.20528831856099705, Validation Loss: 0.20571812629814112, Validation Accuracy: 0.909263
Epoch 25/200, Training Loss: 0.2051492700733264, Validation Loss: 0.20557901535900602, Validation Accuracy: 0.9094004
Epoch 26/200, Training Loss: 0.20502557359836623, Validation Loss: 0.20558826024724516, Validation Accuracy: 0.9094344
Epoch 27/200, Training Loss: 0.2049066319999167, Validation Loss: 0.20488681264283637, Validation Accuracy: 0.9098012
Epoch 28/200, Training Loss: 0.2039026831523933, Validation Loss: 0.20312179213178821, Validation Accuracy: 0.9106708
Epoch 29/200, Training Loss: 0.20283528013905988, Validation Loss: 0.20268050062107262, Validation Accuracy: 0.910878
Epoch 30/200, Training Loss: 0.20255646780096162, Validation Loss: 0.20256816762155702, Validation Accuracy: 0.9109106
Epoch 31/200, Training Loss: 0.20236729476014131, Validation Loss: 0.20245590018524395, Validation Accuracy: 0.9109328
Epoch 32/200, Training Loss: 0.20224263992954994, Validation Loss: 0.20265551174556454, Validation Accuracy: 0.9108166
Epoch 33/200, Training Loss: 0.20215188849152876, Validation Loss: 0.2025366334086111, Validation Accuracy: 0.9108402
Epoch 34/200, Training Loss: 0.20208488216883663, Validation Loss: 0.2025922167133385, Validation Accuracy: 0.9108102
Epoch 35/200, Training Loss: 0.20201989071243545, Validation Loss: 0.2026997533789523, Validation Accuracy: 0.9107982
Epoch 36/200, Training Loss: 0.20194737150473624, Validation Loss: 0.2027627911444894, Validation Accuracy: 0.9108154
Epoch 37/200, Training Loss: 0.20185965514493295, Validation Loss: 0.20221521303543888, Validation Accuracy: 0.9110744
Epoch 38/200, Training Loss: 0.201718347215054, Validation Loss: 0.2018093699666833, Validation Accuracy: 0.9112644
Epoch 39/200, Training Loss: 0.20154715156958672, Validation Loss: 0.20173707291703155, Validation Accuracy: 0.9112916
Epoch 40/200, Training Loss: 0.20139897984888902, Validation Loss: 0.20187894663441586, Validation Accuracy: 0.911345
Epoch 41/200, Training Loss: 0.20129346783958152, Validation Loss: 0.2020259395537282, Validation Accuracy: 0.9113244
Epoch 42/200, Training Loss: 0.2012135875907026, Validation Loss: 0.20195181735493933, Validation Accuracy: 0.9112954
Epoch 43/200, Training Loss: 0.20113687051302134, Validation Loss: 0.2016963254486378, Validation Accuracy: 0.9113912
Epoch 44/200, Training Loss: 0.20106650207490778, Validation Loss: 0.20170076459322078, Validation Accuracy: 0.9114342
Epoch 45/200, Training Loss: 0.20100576608201173, Validation Loss: 0.2016869007930951, Validation Accuracy: 0.9114316
Epoch 46/200, Training Loss: 0.2009599553689351, Validation Loss: 0.20168102507360913, Validation Accuracy: 0.911487
Epoch 47/200, Training Loss: 0.20092047888485998, Validation Loss: 0.20151007255528572, Validation Accuracy: 0.9115034
Epoch 48/200, Training Loss: 0.20088370985054219, Validation Loss: 0.20131417097415363, Validation Accuracy: 0.91152
