Epoch 1/200, Training Loss: 0.010260036369934753, Validation Loss: 0.0062690488359128885, Estimated Remaining Time: 01:17:36
Epoch 2/200, Training Loss: 0.005566609849758907, Validation Loss: 0.004984101187437773, Estimated Remaining Time: 01:16:08
Epoch 3/200, Training Loss: 0.004551251669411511, Validation Loss: 0.004130018367008729, Estimated Remaining Time: 01:15:20
Epoch 4/200, Training Loss: 0.0038923120912609825, Validation Loss: 0.003633416852575134, Estimated Remaining Time: 01:14:43
Epoch 5/200, Training Loss: 0.0035431643461066903, Validation Loss: 0.0033904001794078133, Estimated Remaining Time: 01:14:13
Epoch 6/200, Training Loss: 0.0033406947214314913, Validation Loss: 0.003231900773773139, Estimated Remaining Time: 01:13:45
Epoch 7/200, Training Loss: 0.00320827432133431, Validation Loss: 0.0031360158590938558, Estimated Remaining Time: 01:13:17
Epoch 8/200, Training Loss: 0.0031288843696300984, Validation Loss: 0.0030514154667881403, Estimated Remaining Time: 01:12:50
Epoch 9/200, Training Loss: 0.003068636541170839, Validation Loss: 0.003000477244230834, Estimated Remaining Time: 01:12:26
Epoch 10/200, Training Loss: 0.003011806731668075, Validation Loss: 0.0029875963693484662, Estimated Remaining Time: 01:12:03
Epoch 11/200, Training Loss: 0.0029708637665813785, Validation Loss: 0.003021286842836575, Estimated Remaining Time: 01:11:41
Epoch 12/200, Training Loss: 0.0029291664219528377, Validation Loss: 0.002918219282715158, Estimated Remaining Time: 01:11:17
Epoch 13/200, Training Loss: 0.0028937969013780596, Validation Loss: 0.0029389577833088963, Estimated Remaining Time: 01:10:54
Epoch 14/200, Training Loss: 0.0028610950630260095, Validation Loss: 0.002847664094191383, Estimated Remaining Time: 01:10:29
Epoch 15/200, Training Loss: 0.0028361321368897303, Validation Loss: 0.0028099068080667746, Estimated Remaining Time: 01:10:05
Epoch 16/200, Training Loss: 0.0028143412904887487, Validation Loss: 0.0028063021240417253, Estimated Remaining Time: 01:09:42
Epoch 17/200, Training Loss: 0.0027936214825049752, Validation Loss: 0.0027947653910483827, Estimated Remaining Time: 01:09:18
Epoch 18/200, Training Loss: 0.0027772304382582837, Validation Loss: 0.002789139660837298, Estimated Remaining Time: 01:08:55
Epoch 19/200, Training Loss: 0.002761885040206599, Validation Loss: 0.0027622388379478996, Estimated Remaining Time: 01:08:32
Epoch 20/200, Training Loss: 0.002748289896154506, Validation Loss: 0.0027494871692562645, Estimated Remaining Time: 01:08:10
Epoch 21/200, Training Loss: 0.0027333888097401055, Validation Loss: 0.0027253796452317725, Estimated Remaining Time: 01:07:47
Epoch 22/200, Training Loss: 0.002720909997096178, Validation Loss: 0.0027026733531701295, Estimated Remaining Time: 01:07:24
Epoch 23/200, Training Loss: 0.0027076280447008065, Validation Loss: 0.0026733295124193486, Estimated Remaining Time: 01:07:00
Epoch 24/200, Training Loss: 0.0026978438082240755, Validation Loss: 0.002648704456673427, Estimated Remaining Time: 01:06:39
Epoch 25/200, Training Loss: 0.002688259503680537, Validation Loss: 0.0026611952428621326, Estimated Remaining Time: 01:06:16
Epoch 26/200, Training Loss: 0.0026747460768151397, Validation Loss: 0.0026523228438401765, Estimated Remaining Time: 01:05:53
Epoch 27/200, Training Loss: 0.00266278654397319, Validation Loss: 0.0026041035519235515, Estimated Remaining Time: 01:05:29
Epoch 28/200, Training Loss: 0.002655770112085699, Validation Loss: 0.0026015166108581153, Estimated Remaining Time: 01:05:06
Epoch 29/200, Training Loss: 0.0026514783037850953, Validation Loss: 0.0026115098692984745, Estimated Remaining Time: 01:04:43
Epoch 30/200, Training Loss: 0.002644499283795374, Validation Loss: 0.002617938977412202, Estimated Remaining Time: 01:04:19
Epoch 31/200, Training Loss: 0.002640700987761929, Validation Loss: 0.002623457635160197, Estimated Remaining Time: 01:03:56
Epoch 32/200, Training Loss: 0.0026338192813094657, Validation Loss: 0.0026272773255848073, Estimated Remaining Time: 01:03:33
Epoch 33/200, Training Loss: 0.0026252872146394295, Validation Loss: 0.002643509522419084, Estimated Remaining Time: 01:03:10
Epoch 34/200, Training Loss: 0.00261962195606421, Validation Loss: 0.002621025981550867, Estimated Remaining Time: 01:02:47
Epoch 35/200, Training Loss: 0.0026158327099951146, Validation Loss: 0.002602811437100172, Estimated Remaining Time: 01:02:24
Epoch 36/200, Training Loss: 0.0026050103826423788, Validation Loss: 0.0025989606659012764, Estimated Remaining Time: 01:02:01
Epoch 37/200, Training Loss: 0.0026000406564304864, Validation Loss: 0.002596773054789413, Estimated Remaining Time: 01:01:38
Epoch 38/200, Training Loss: 0.0025944220448967745, Validation Loss: 0.0025569864019582217, Estimated Remaining Time: 01:01:14
Epoch 39/200, Training Loss: 0.002586450769821712, Validation Loss: 0.002570342340252616, Estimated Remaining Time: 01:00:50
Epoch 40/200, Training Loss: 0.0025797327638348035, Validation Loss: 0.0025804859141565183, Estimated Remaining Time: 01:00:27
Epoch 41/200, Training Loss: 0.0025744189462495216, Validation Loss: 0.0025293198435313324, Estimated Remaining Time: 01:00:03
Epoch 42/200, Training Loss: 0.002571421674676353, Validation Loss: 0.002548755176196044, Estimated Remaining Time: 00:59:40
Epoch 43/200, Training Loss: 0.002564923953606531, Validation Loss: 0.0025103448106991973, Estimated Remaining Time: 00:59:16
Epoch 44/200, Training Loss: 0.0025596776234104914, Validation Loss: 0.0025033417432992295, Estimated Remaining Time: 00:58:53
Epoch 45/200, Training Loss: 0.0025589317800486584, Validation Loss: 0.0025094891771335493, Estimated Remaining Time: 00:58:29
