X,Y,result
56,65,121
72,6,78
51,92,143
4,94,98
34,42,76
71,8,79
59,86,145
53,21,74
22,40,62
58,28,86
26,8,34
84,69,153
33,16,49
28,27,55
94,65,159
56,41,97
97,36,133
49,6,55
36,2,38
35,25,60
53,37,90
87,1,88
22,47,69
22,35,57
73,26,99
53,26,79
53,18,71
68,31,99
20,54,74
99,1,100
56,93,149
77,4,81
12,59,71
47,24,71
42,22,64
40,54,94
57,60,117
49,91,140
39,29,68
52,14,66
82,89,171
23,25,48
78,15,93
85,52,137
30,99,129
5,6,11
73,51,124
73,53,126
80,38,118
98,85,183
17,23,40
97,45,142
2,90,92
82,35,117
22,89,111
32,26,58
18,42,60
35,59,94
90,63,153
18,35,53
41,41,82
13,24,37
62,68,130
14,27,41
19,73,92
97,64,161
69,39,108
17,85,102
64,27,91
75,75,150
51,66,117
6,59,65
20,94,114
44,83,127
46,47,93
38,34,72
86,64,150
20,63,83
7,4,11
64,70,134
78,68,146
10,37,47
63,61,124
27,41,68
1,20,21
27,89,116
75,59,134
14,38,52
49,30,79
62,65,127
39,17,56
84,36,120
55,33,88
2,1,3
54,35,89
14,79,93
58,76,134
28,89,117
86,18,104
75,90,165
24,66,90
16,81,97
51,23,74
72,46,118
30,72,102
97,4,101
5,95,100
89,11,100
47,31,78
21,79,100
96,52,148
96,55,151
45,85,130
76,14,90
28,42,70
38,28,66
94,12,106
84,54,138
5,25,30
97,34,131
27,19,46
51,51,102
52,66,118
50,75,125
72,35,107
74,29,103
32,50,82
51,66,117
70,9,79
92,77,169
26,13,39
89,59,148
43,57,100
25,26,51
81,90,171
75,65,140
31,79,110
82,89,171
17,19,36
83,4,87
26,59,85
34,56,90
58,62,120
63,29,92
8,80,88
44,63,107
4,46,50
58,31,89
41,78,119
7,93,100
14,11,25
48,90,138
74,75,149
78,62,140
93,95,188
29,21,50
17,7,24
14,38,52
35,15,50
68,43,111
78,28,106
79,50,129
60,4,64
87,53,140
73,43,116
7,71,78
93,83,176
24,75,99
44,20,64
68,74,142
57,1,58
58,73,131
43,67,110
76,5,81
38,79,117
97,68,165
18,51,69
21,57,78
81,97,178
36,1,37
72,53,125
35,59,94
49,66,115
18,94,112
27,61,88
22,42,64
95,49,144
81,62,143
11,29,40
83,24,107
70,92,162
82,98,180
36,53,89
77,51,128
76,26,102
46,67,113
30,97,127
65,41,106
43,68,111
96,82,178
47,58,105
27,63,90
56,35,91
6,74,80
12,94,106
60,16,76
76,22,98
88,60,148
1,62,63
11,41,52
99,19,118
14,39,53
14,46,60
99,11,110
30,46,76
74,32,106
64,41,105
55,27,82
19,77,96
58,37,95
90,31,121
42,79,121
6,25,31
38,1,39
27,38,65
81,53,134
88,3,91
2,3,5
57,28,85
95,81,176
53,54,107
51,37,88
95,6,101
93,35,128
56,45,101
19,80,99
91,12,103
77,6,83
34,28,62
23,87,110
9,27,36
19,22,41
22,43,65
57,92,149
55,79,134
21,80,101
69,36,105
35,22,57
79,97,176
48,68,116
28,22,50
83,60,143
22,11,33
37,48,85
7,8,15
40,11,51
71,29,100
18,61,79
84,83,167
34,29,63
46,40,86
8,17,25
82,23,105
57,65,122
51,84,135
7,87,94
13,67,80
57,98,155
67,77,144
85,13,98
87,68,155
86,56,142
41,88,129
52,56,108
87,95,182
60,57,117
86,36,122
34,51,85
72,71,143
77,11,88
83,5,88
51,19,70
57,56,113
39,78,117
22,4,26
23,32,55
12,62,74
73,63,136
6,51,57
14,26,40
16,81,97
88,58,146
4,59,63
11,6,17
57,75,132
96,39,135
61,7,68
82,69,151
23,6,29
32,30,62
65,17,82
93,71,164
76,12,88
69,21,90
35,62,97
35,84,119
26,15,41
45,41,86
34,74,108
14,55,69
20,35,55
57,29,86
75,56,131
56,71,127
9,31,40
92,7,99
60,25,85
81,57,138
75,73,148
94,62,156
56,71,127
66,58,124
29,65,94
17,41,58
11,45,56
4,6,10
92,86,178
41,65,106
73,54,127
76,58,134
86,66,152
25,32,57
53,38,91
91,96,187
22,30,52
88,33,121
36,74,110
60,92,152
18,34,52
58,20,78
5,29,34
26,13,39
58,86,144
36,37,73
43,11,54
53,13,66
15,8,23
48,56,104
54,9,63
45,35,80
5,83,88
92,92,184
9,19,28
67,33,100
62,37,99
64,8,72
24,16,40
67,92,159
18,26,44
2,49,51
72,85,157
73,91,164
34,99,133
9,98,107
17,20,37
97,27,124
70,59,129
26,70,96
3,26,29
22,83,105
87,64,151
7,50,57
95,26,121
45,70,115
30,33,63
51,71,122
99,14,113
25,61,86
63,60,123
16,42,58
30,30,60
45,8,53
87,32,119
13,85,98
21,41,62
96,14,110
54,25,79
32,20,52
44,13,57
4,58,62
3,56,59
90,32,122
81,83,164
93,80,173
72,67,139
23,15,38
17,79,96
20,35,55
52,32,84
46,56,102
61,1,62
73,25,98
38,82,120
96,16,112
48,10,58
82,47,129
70,68,138
78,62,140
13,91,104
97,54,151
30,13,43
11,74,85
54,12,66
80,21,101
76,97,173
10,96,106
62,16,78
85,18,103
50,16,66
28,86,114
53,75,128
2,8,10
33,93,126
62,67,129
9,25,34
18,40,58
63,56,119
39,36,75
59,74,133
14,48,62
38,20,58
18,22,40
70,26,96
54,96,150
56,76,132
18,97,115
16,70,86
58,71,129
9,16,25
84,11,95
35,54,89
93,39,132
59,56,115
28,56,84
43,87,130
71,12,83
49,35,84
79,97,176
64,4,68
28,2,30
37,40,77
44,67,111
91,79,170
31,36,67
24,15,39
19,50,69
45,18,63
29,72,101
70,74,144
92,40,132
63,25,88
31,23,54
2,94,96
2,84,86
65,87,152
66,82,148
61,38,99
15,3,18
72,23,95
39,50,89
97,42,139
73,45,118
52,89,141
38,53,91
59,70,129
74,32,106
53,92,145
12,24,36
85,26,111
67,59,126
31,83,114
86,38,124
90,75,165
75,95,170
49,27,76
31,82,113
85,41,126
47,7,54
47,28,75
72,71,143
17,92,109
54,56,110
95,44,139
89,53,142
81,97,178
70,68,138
53,49,102
10,65,75
14,64,78
19,74,93
66,32,98
28,54,82
56,72,128
37,26,63
78,60,138
10,44,54
83,50,133
50,91,141
63,60,123
48,67,115
51,61,112
51,67,118
64,75,139
59,89,148
80,40,120
50,33,83
30,64,94
19,42,61
94,6,100
44,80,124
71,90,161
60,44,104
68,3,71
62,13,75
19,24,43
82,34,116
37,59,96
45,24,69
2,66,68
68,15,83
32,96,128
25,6,31
57,41,98
15,42,57
73,80,153
66,31,97
92,69,161
62,74,136
82,47,129
93,60,153
25,48,73
39,13,52
67,5,72
98,18,116
20,38,58
34,63,97
14,32,46
40,31,71
7,41,48
8,6,14
33,42,75
24,24,48
7,54,61
53,74,127
34,59,93
33,51,84
54,61,115
74,84,158
87,90,177
42,60,102
48,17,65
61,18,79
53,84,137
64,76,140
8,86,94
84,16,100
48,48,96
96,74,170
38,22,60
22,8,30
45,75,120
75,17,92
88,26,114
77,53,130
45,14,59
47,95,142
80,72,152
99,78,177
53,85,138
31,53,84
77,91,168
63,68,131
61,15,76
52,44,96
2,84,86
17,20,37
2,50,52
97,80,177
12,71,83
58,69,127
90,54,144
57,22,79
9,41,50
42,51,93
28,7,35
89,44,133
76,76,152
75,68,143
37,1,38
44,42,86
26,99,125
86,30,116
1,26,27
56,11,67
89,84,173
20,61,81
5,82,87
62,43,105
19,9,28
13,21,34
41,24,65
93,66,159
59,52,111
14,23,37
4,36,40
70,5,75
18,53,71
14,39,53
35,99,134
4,9,13
62,93,155
82,46,128
61,44,105
58,75,133
57,9,66
66,30,96
27,21,48
80,2,82
33,23,56
27,27,54
63,66,129
55,11,66
99,80,179
30,27,57
93,38,131
59,28,87
91,9,100
92,7,99
47,79,126
28,13,41
65,67,132
83,95,178
38,75,113
35,76,111
10,41,51
17,30,47
18,76,94
27,1,28
39,33,72
92,62,154
54,64,118
63,22,85
69,91,160
5,57,62
16,27,43
58,98,156
83,95,178
78,10,88
70,25,95
3,61,64
12,28,40
93,44,137
51,61,112
74,54,128
74,27,101
37,11,48
80,9,89
52,42,94
73,91,164
5,82,87
11,60,71
19,59,78
55,63,118
60,25,85
60,13,73
43,7,50
51,93,144
16,42,58
80,36,116
63,35,98
21,5,26
5,43,48
60,45,105
16,38,54
57,30,87
96,85,181
71,46,117
59,84,143
28,90,118
30,61,91
48,75,123
99,82,181
73,20,93
21,64,85
65,42,107
69,78,147
50,2,52
6,73,79
22,12,34
95,49,144
42,57,99
5,25,30
63,12,75
76,39,115
27,36,63
93,10,103
6,22,28
43,74,117
32,86,118
77,76,153
61,18,79
1,29,30
61,80,141
83,26,109
58,58,116
48,15,63
58,1,59
38,73,111
41,20,61
49,63,112
28,92,120
80,83,163
61,59,120
39,99,138
69,9,78
5,96,101
23,85,108
29,50,79
4,61,65
26,66,92
59,70,129
19,79,98
89,36,125
76,95,171
37,12,49
99,49,148
18,6,24
64,71,135
67,15,82
6,99,105
68,58,126
6,10,16
7,64,71
52,81,133
21,10,31
