Epoch 1/200, Training Loss: 1.1063728035717715, Validation Loss: 1.0170896282983481, Estimated Remaining Time: 01:20:17
Epoch 2/200, Training Loss: 1.0129224452816072, Validation Loss: 1.0105109356958932, Estimated Remaining Time: 01:19:14
Epoch 3/200, Training Loss: 1.00493208551016, Validation Loss: 1.0042333373236, Estimated Remaining Time: 01:18:39
Epoch 4/200, Training Loss: 1.0002336412301807, Validation Loss: 0.9999853990493565, Estimated Remaining Time: 01:18:13
Epoch 5/200, Training Loss: 0.9966685402466625, Validation Loss: 0.9958222081901831, Estimated Remaining Time: 01:17:53
Epoch 6/200, Training Loss: 0.9939669948376593, Validation Loss: 0.9940568624286477, Estimated Remaining Time: 01:17:34
Epoch 7/200, Training Loss: 0.991963275387639, Validation Loss: 0.9919320760516945, Estimated Remaining Time: 01:17:09
Epoch 8/200, Training Loss: 0.9900556751450554, Validation Loss: 0.9902853861861273, Estimated Remaining Time: 01:16:45
Epoch 9/200, Training Loss: 0.9881987833097333, Validation Loss: 0.9878618389094641, Estimated Remaining Time: 01:16:23
Epoch 10/200, Training Loss: 0.9863868871795349, Validation Loss: 0.987470921573289, Estimated Remaining Time: 01:16:01
Epoch 11/200, Training Loss: 0.9849894924974832, Validation Loss: 0.9860731636712311, Estimated Remaining Time: 01:15:39
Epoch 12/200, Training Loss: 0.9836167421375142, Validation Loss: 0.9845154744769455, Estimated Remaining Time: 01:15:15
Epoch 13/200, Training Loss: 0.9824359977587325, Validation Loss: 0.9839331381911531, Estimated Remaining Time: 01:14:51
Epoch 14/200, Training Loss: 0.9815025864565958, Validation Loss: 0.9838186726657623, Estimated Remaining Time: 01:14:27
Epoch 15/200, Training Loss: 0.981098331572091, Validation Loss: 0.9827964185574732, Estimated Remaining Time: 01:14:03
Epoch 16/200, Training Loss: 0.9802953228965158, Validation Loss: 0.9830474219190966, Estimated Remaining Time: 01:13:39
Epoch 17/200, Training Loss: 0.9798161385611432, Validation Loss: 0.9818088702105601, Estimated Remaining Time: 01:13:16
Epoch 18/200, Training Loss: 0.9792383882354517, Validation Loss: 0.9828459740778722, Estimated Remaining Time: 01:12:52
Epoch 19/200, Training Loss: 0.9782683263670225, Validation Loss: 0.981251698021495, Estimated Remaining Time: 01:12:28
Epoch 20/200, Training Loss: 0.978036173909414, Validation Loss: 0.9821608356379588, Estimated Remaining Time: 01:12:05
Epoch 21/200, Training Loss: 0.9774145995740031, Validation Loss: 0.9821452815598304, Estimated Remaining Time: 01:11:41
Epoch 22/200, Training Loss: 0.9769451056958222, Validation Loss: 0.980736398915632, Estimated Remaining Time: 01:11:18
Epoch 23/200, Training Loss: 0.9765309163781463, Validation Loss: 0.9793231651323651, Estimated Remaining Time: 01:10:54
Epoch 24/200, Training Loss: 0.9760120195932076, Validation Loss: 0.9780493745016395, Estimated Remaining Time: 01:10:31
Epoch 25/200, Training Loss: 0.975667415950142, Validation Loss: 0.9804925076458433, Estimated Remaining Time: 01:10:07
Epoch 26/200, Training Loss: 0.9749616157935291, Validation Loss: 0.9781797845429236, Estimated Remaining Time: 01:09:43
Epoch 27/200, Training Loss: 0.9747213208284534, Validation Loss: 0.9785570037474326, Estimated Remaining Time: 01:09:20
Epoch 28/200, Training Loss: 0.9743414242736629, Validation Loss: 0.9785982627387441, Estimated Remaining Time: 01:08:56
Epoch 29/200, Training Loss: 0.9740493905226715, Validation Loss: 0.9785127180431961, Estimated Remaining Time: 01:08:32
Epoch 30/200, Training Loss: 0.9737764130361745, Validation Loss: 0.9792748558411905, Estimated Remaining Time: 01:08:08
Epoch 31/200, Training Loss: 0.9732948326062961, Validation Loss: 0.9788440449522176, Estimated Remaining Time: 01:07:44
Epoch 32/200, Training Loss: 0.9730196009527464, Validation Loss: 0.9781950991088098, Estimated Remaining Time: 01:07:20
Epoch 33/200, Training Loss: 0.9727634277011528, Validation Loss: 0.9767517042816232, Estimated Remaining Time: 01:06:56
