Epoch 1/200, Training Loss: 0.24458704898355696, Validation Loss: 0.20408427577239638, Validation Accuracy: 0.908049, Estimated Remaining Time: 03:43:05
Epoch 2/200, Training Loss: 0.18476432983005678, Validation Loss: 0.16542960527225042, Validation Accuracy: 0.925457, Estimated Remaining Time: 03:40:55
Epoch 3/200, Training Loss: 0.15864938783065052, Validation Loss: 0.1500618297356767, Validation Accuracy: 0.932879, Estimated Remaining Time: 03:39:41
Epoch 4/200, Training Loss: 0.1468461458973515, Validation Loss: 0.1423910357081852, Validation Accuracy: 0.936291, Estimated Remaining Time: 03:38:36
Epoch 5/200, Training Loss: 0.13904738003752895, Validation Loss: 0.1373580871298671, Validation Accuracy: 0.939031, Estimated Remaining Time: 03:37:31
Epoch 6/200, Training Loss: 0.13093692996071363, Validation Loss: 0.13298550986062985, Validation Accuracy: 0.941381, Estimated Remaining Time: 03:36:05
Epoch 7/200, Training Loss: 0.1245326637782069, Validation Loss: 0.12042645169808842, Validation Accuracy: 0.947325, Estimated Remaining Time: 03:35:18
Epoch 8/200, Training Loss: 0.11998094231621294, Validation Loss: 0.11614452797574357, Validation Accuracy: 0.949157, Estimated Remaining Time: 03:34:17
Epoch 9/200, Training Loss: 0.11592519729323036, Validation Loss: 0.11714614368380068, Validation Accuracy: 0.94862, Estimated Remaining Time: 03:33:20
Epoch 10/200, Training Loss: 0.11245127665617269, Validation Loss: 0.11270956730785461, Validation Accuracy: 0.950754, Estimated Remaining Time: 03:32:18
Epoch 11/200, Training Loss: 0.10919012360531709, Validation Loss: 0.10862902885142225, Validation Accuracy: 0.952651, Estimated Remaining Time: 03:31:15
Epoch 12/200, Training Loss: 0.10704352731832693, Validation Loss: 0.10522120350751633, Validation Accuracy: 0.954192, Estimated Remaining Time: 03:30:12
Epoch 13/200, Training Loss: 0.10514050308936777, Validation Loss: 0.10560970334484936, Validation Accuracy: 0.954059, Estimated Remaining Time: 03:29:05
Epoch 14/200, Training Loss: 0.10369640724105085, Validation Loss: 0.10484270146860482, Validation Accuracy: 0.954639, Estimated Remaining Time: 03:27:52
Epoch 15/200, Training Loss: 0.10236762368431135, Validation Loss: 0.10502966978965095, Validation Accuracy: 0.955143, Estimated Remaining Time: 03:26:40
Epoch 16/200, Training Loss: 0.10134493625814534, Validation Loss: 0.10329878156463178, Validation Accuracy: 0.955167, Estimated Remaining Time: 03:25:34
Epoch 17/200, Training Loss: 0.1003851442231303, Validation Loss: 0.10200183086406689, Validation Accuracy: 0.956213, Estimated Remaining Time: 03:24:29
Epoch 18/200, Training Loss: 0.09961486238571744, Validation Loss: 0.09960196067254765, Validation Accuracy: 0.956952, Estimated Remaining Time: 03:23:23
Epoch 19/200, Training Loss: 0.10029251384027395, Validation Loss: 0.09900846272802201, Validation Accuracy: 0.957092, Estimated Remaining Time: 03:22:18
Epoch 20/200, Training Loss: 0.09879507495496267, Validation Loss: 0.09831390463220425, Validation Accuracy: 0.957321, Estimated Remaining Time: 03:21:09
Epoch 21/200, Training Loss: 0.09776405184147327, Validation Loss: 0.09545261215287656, Validation Accuracy: 0.958148, Estimated Remaining Time: 03:20:04
Epoch 22/200, Training Loss: 0.09775920990964419, Validation Loss: 0.09942802420249, Validation Accuracy: 0.957555, Estimated Remaining Time: 03:19:02
Epoch 23/200, Training Loss: 0.3197800005553373, Validation Loss: 0.1001376032162779, Validation Accuracy: 0.956752, Estimated Remaining Time: 03:17:58
Epoch 24/200, Training Loss: 0.10245760308808378, Validation Loss: 0.10236928969050368, Validation Accuracy: 0.957263, Estimated Remaining Time: 03:16:53
Epoch 25/200, Training Loss: 0.10217615441573798, Validation Loss: 0.09594901679708553, Validation Accuracy: 0.958149, Estimated Remaining Time: 03:15:48
Epoch 26/200, Training Loss: 0.10375431713168408, Validation Loss: 0.11283158099118132, Validation Accuracy: 0.95174, Estimated Remaining Time: 03:14:44
Epoch 27/200, Training Loss: 0.10100340688785878, Validation Loss: 0.0955485947930013, Validation Accuracy: 0.959107, Estimated Remaining Time: 03:13:39
Epoch 28/200, Training Loss: 0.09950281416092147, Validation Loss: 0.09528739864643389, Validation Accuracy: 0.958805, Estimated Remaining Time: 03:12:33
Epoch 29/200, Training Loss: 0.10079158220666606, Validation Loss: 0.09524864743883237, Validation Accuracy: 0.959197, Estimated Remaining Time: 03:11:26
Epoch 30/200, Training Loss: 0.10449979334825983, Validation Loss: 0.10308942812890672, Validation Accuracy: 0.955833, Estimated Remaining Time: 03:10:20
Epoch 31/200, Training Loss: 0.10143566586625478, Validation Loss: 0.09453039756788613, Validation Accuracy: 0.959091, Estimated Remaining Time: 03:09:16
Epoch 32/200, Training Loss: 0.11050208945620581, Validation Loss: 0.15202030482383583, Validation Accuracy: 0.935554, Estimated Remaining Time: 03:08:12
Epoch 33/200, Training Loss: 0.10757929749106157, Validation Loss: 0.0982881883462778, Validation Accuracy: 0.957628, Estimated Remaining Time: 03:07:07
Epoch 34/200, Training Loss: 0.10803313907719235, Validation Loss: 0.09603751510286483, Validation Accuracy: 0.959022, Estimated Remaining Time: 03:06:03
Epoch 35/200, Training Loss: 0.11337703300611514, Validation Loss: 0.13083952374922964, Validation Accuracy: 0.945605, Estimated Remaining Time: 03:04:58
Epoch 36/200, Training Loss: 0.10404879680857555, Validation Loss: 0.09856147052476201, Validation Accuracy: 0.957799, Estimated Remaining Time: 03:03:53
Epoch 37/200, Training Loss: 0.11042405533019309, Validation Loss: 0.09907644561018807, Validation Accuracy: 0.957939, Estimated Remaining Time: 03:02:46
Epoch 38/200, Training Loss: 0.14418367094367246, Validation Loss: 0.13875099471487556, Validation Accuracy: 0.941389, Estimated Remaining Time: 03:01:39
Epoch 39/200, Training Loss: 0.10576460096512322, Validation Loss: 0.10379851909395986, Validation Accuracy: 0.955567, Estimated Remaining Time: 03:00:33
Epoch 40/200, Training Loss: 0.10863375181442811, Validation Loss: 0.09903043767990777, Validation Accuracy: 0.958541, Estimated Remaining Time: 02:59:27
Epoch 41/200, Training Loss: 0.11286357714481045, Validation Loss: 0.10537936862189168, Validation Accuracy: 0.955491, Estimated Remaining Time: 02:58:20
