Epoch 1/200, Training Loss: 0.008158592400145779, Validation Loss: 0.00491001530635086, Estimated Remaining Time: 01:16:49
Epoch 2/200, Training Loss: 0.0042192495910199825, Validation Loss: 0.003692650714550506, Estimated Remaining Time: 01:16:02
Epoch 3/200, Training Loss: 0.0035794870505673694, Validation Loss: 0.0034827709049833093, Estimated Remaining Time: 01:15:26
Epoch 4/200, Training Loss: 0.0033860862945803757, Validation Loss: 0.003434710136868737, Estimated Remaining Time: 01:14:57
Epoch 5/200, Training Loss: 0.0031623424732870786, Validation Loss: 0.0030208404070105064, Estimated Remaining Time: 01:14:32
Epoch 6/200, Training Loss: 0.0030449132374634072, Validation Loss: 0.0029573985015634787, Estimated Remaining Time: 01:14:07
Epoch 7/200, Training Loss: 0.002953844210991623, Validation Loss: 0.00286628254477612, Estimated Remaining Time: 01:13:42
Epoch 8/200, Training Loss: 0.002861838485609661, Validation Loss: 0.0027849367417564445, Estimated Remaining Time: 01:13:19
Epoch 9/200, Training Loss: 0.0027940912134926522, Validation Loss: 0.002657963164066049, Estimated Remaining Time: 01:12:54
Epoch 10/200, Training Loss: 0.00268459680519447, Validation Loss: 0.0025876921135932207, Estimated Remaining Time: 01:12:31
Epoch 11/200, Training Loss: 0.0026867882345766284, Validation Loss: 0.002563106749122116, Estimated Remaining Time: 01:12:08
Epoch 12/200, Training Loss: 0.002551276579059532, Validation Loss: 0.0024724132698875937, Estimated Remaining Time: 01:11:45
Epoch 13/200, Training Loss: 0.002490737190726756, Validation Loss: 0.002408258870921352, Estimated Remaining Time: 01:11:22
Epoch 14/200, Training Loss: 0.002442493615813531, Validation Loss: 0.0023743642748079515, Estimated Remaining Time: 01:10:59
Epoch 15/200, Training Loss: 0.002405614331940221, Validation Loss: 0.002326052864505486, Estimated Remaining Time: 01:10:36
Epoch 16/200, Training Loss: 0.0023791561204668326, Validation Loss: 0.0022757848364893685, Estimated Remaining Time: 01:10:12
Epoch 17/200, Training Loss: 0.002320516320453106, Validation Loss: 0.0022881100250577383, Estimated Remaining Time: 01:09:49
Epoch 18/200, Training Loss: 0.0022667137250868487, Validation Loss: 0.0021875543117692523, Estimated Remaining Time: 01:09:26
Epoch 19/200, Training Loss: 0.0022519589846447985, Validation Loss: 0.0021643733902072366, Estimated Remaining Time: 01:09:04
Epoch 20/200, Training Loss: 0.002217625192670376, Validation Loss: 0.0021318420937115495, Estimated Remaining Time: 01:08:42
Epoch 21/200, Training Loss: 0.0021806645853229794, Validation Loss: 0.002144449495244771, Estimated Remaining Time: 01:08:19
Epoch 22/200, Training Loss: 0.0021565839230236732, Validation Loss: 0.002095251696565273, Estimated Remaining Time: 01:07:57
Epoch 23/200, Training Loss: 0.002112538012861828, Validation Loss: 0.002071406393819912, Estimated Remaining Time: 01:07:34
Epoch 24/200, Training Loss: 0.002078464826080182, Validation Loss: 0.002025974510152909, Estimated Remaining Time: 01:07:12
Epoch 25/200, Training Loss: 0.002043079014909062, Validation Loss: 0.0019956239107572897, Estimated Remaining Time: 01:06:50
Epoch 26/200, Training Loss: 0.0020101629238879534, Validation Loss: 0.0019618694702248003, Estimated Remaining Time: 01:06:27
Epoch 27/200, Training Loss: 0.001971778246359909, Validation Loss: 0.001904191059822386, Estimated Remaining Time: 01:06:05
Epoch 28/200, Training Loss: 0.00192315862919822, Validation Loss: 0.001860096931076524, Estimated Remaining Time: 01:05:42
Epoch 29/200, Training Loss: 0.0018665736727274977, Validation Loss: 0.0017980166763829236, Estimated Remaining Time: 01:05:20
Epoch 30/200, Training Loss: 0.0018144758202828157, Validation Loss: 0.0017401371701535853, Estimated Remaining Time: 01:04:57
Epoch 31/200, Training Loss: 0.0017595557537705476, Validation Loss: 0.0017179131349125368, Estimated Remaining Time: 01:04:40
Epoch 32/200, Training Loss: 0.0017034458657000083, Validation Loss: 0.0016583203962496058, Estimated Remaining Time: 01:04:25
Epoch 33/200, Training Loss: 0.0016584678437691013, Validation Loss: 0.0016150095298970964, Estimated Remaining Time: 01:04:10
Epoch 34/200, Training Loss: 0.0016126557912162327, Validation Loss: 0.0015498122824779289, Estimated Remaining Time: 01:03:54
Epoch 35/200, Training Loss: 0.0015715726474564231, Validation Loss: 0.001501818491272967, Estimated Remaining Time: 01:03:38
Epoch 36/200, Training Loss: 0.0015307686846229608, Validation Loss: 0.0014846488283100454, Estimated Remaining Time: 01:03:21
Epoch 37/200, Training Loss: 0.001490408535211667, Validation Loss: 0.0014678036127324131, Estimated Remaining Time: 01:03:04
Epoch 38/200, Training Loss: 0.001450851697167108, Validation Loss: 0.0013688961340283805, Estimated Remaining Time: 01:02:46
Epoch 39/200, Training Loss: 0.001421604693320928, Validation Loss: 0.0013836623063649643, Estimated Remaining Time: 01:02:29
Epoch 40/200, Training Loss: 0.0013871790848062832, Validation Loss: 0.00132355289216238, Estimated Remaining Time: 01:02:10
Epoch 41/200, Training Loss: 0.0013623609724893351, Validation Loss: 0.0012973036352460358, Estimated Remaining Time: 01:01:52
Epoch 42/200, Training Loss: 0.0013407301564635793, Validation Loss: 0.0012768613280389797, Estimated Remaining Time: 01:01:33
Epoch 43/200, Training Loss: 0.0013175441457945645, Validation Loss: 0.0012562737916596233, Estimated Remaining Time: 01:01:14
Epoch 44/200, Training Loss: 0.0012937430626162626, Validation Loss: 0.0012420721690763127, Estimated Remaining Time: 01:00:55
Epoch 45/200, Training Loss: 0.0012749831378318392, Validation Loss: 0.0012090055959891866, Estimated Remaining Time: 01:00:35
Epoch 46/200, Training Loss: 0.0012549402226676, Validation Loss: 0.00119073466101492, Estimated Remaining Time: 01:00:16
Epoch 47/200, Training Loss: 0.0012390414667348807, Validation Loss: 0.0011828624431721188, Estimated Remaining Time: 00:59:56
Epoch 48/200, Training Loss: 0.0012230026891187076, Validation Loss: 0.001164116973946379, Estimated Remaining Time: 00:59:36
Epoch 49/200, Training Loss: 0.0012081626972764836, Validation Loss: 0.001152637132062492, Estimated Remaining Time: 00:59:16
Epoch 50/200, Training Loss: 0.001195290706449744, Validation Loss: 0.001143955975897949, Estimated Remaining Time: 00:58:56
Epoch 51/200, Training Loss: 0.00118304746616594, Validation Loss: 0.0011610310556451706, Estimated Remaining Time: 00:58:35
Epoch 52/200, Training Loss: 0.0011661709953272167, Validation Loss: 0.001105835905764252, Estimated Remaining Time: 00:58:14
Epoch 53/200, Training Loss: 0.0011618461008957401, Validation Loss: 0.00110993210056966, Estimated Remaining Time: 00:57:54
Epoch 54/200, Training Loss: 0.0011470901141492338, Validation Loss: 0.001089026823915033, Estimated Remaining Time: 00:57:33
Epoch 55/200, Training Loss: 0.0011368279765584632, Validation Loss: 0.0010779248883905398, Estimated Remaining Time: 00:57:12
Epoch 56/200, Training Loss: 0.0011253667590887736, Validation Loss: 0.001091863765296611, Estimated Remaining Time: 00:56:50
Epoch 57/200, Training Loss: 0.0011143154561851767, Validation Loss: 0.0010526261271231554, Estimated Remaining Time: 00:56:29
Epoch 58/200, Training Loss: 0.0011046914996630244, Validation Loss: 0.0010515201376454736, Estimated Remaining Time: 00:56:07
Epoch 59/200, Training Loss: 0.0010974840092965285, Validation Loss: 0.0010379502295770429, Estimated Remaining Time: 00:55:46
Epoch 60/200, Training Loss: 0.0010929719788864965, Validation Loss: 0.0010442754285494712, Estimated Remaining Time: 00:55:24
Epoch 61/200, Training Loss: 0.0010786819738348174, Validation Loss: 0.0010401170626706021, Estimated Remaining Time: 00:55:02
Epoch 62/200, Training Loss: 0.0010759448833700378, Validation Loss: 0.0010356662683823907, Estimated Remaining Time: 00:54:41
Epoch 63/200, Training Loss: 0.0010663003718769206, Validation Loss: 0.0010271604903126983, Estimated Remaining Time: 00:54:19
Epoch 64/200, Training Loss: 0.0010597898973139775, Validation Loss: 0.000998245133087039, Estimated Remaining Time: 00:53:57
Epoch 65/200, Training Loss: 0.0010496665312688734, Validation Loss: 0.001013955978189849, Estimated Remaining Time: 00:53:34
Epoch 66/200, Training Loss: 0.001041610964954658, Validation Loss: 0.0010400264142927799, Estimated Remaining Time: 00:53:12
Epoch 67/200, Training Loss: 0.0010384895511843422, Validation Loss: 0.0010315861923366107, Estimated Remaining Time: 00:52:50
Epoch 68/200, Training Loss: 0.0010337735792355879, Validation Loss: 0.0010265470445367762, Estimated Remaining Time: 00:52:28
Epoch 69/200, Training Loss: 0.001028828908266592, Validation Loss: 0.001041606590363451, Estimated Remaining Time: 00:52:05
Epoch 70/200, Training Loss: 0.0010252005630337917, Validation Loss: 0.001019024389097467, Estimated Remaining Time: 00:51:43
Epoch 71/200, Training Loss: 0.0010191326924475154, Validation Loss: 0.000989607146369632, Estimated Remaining Time: 00:51:20
Epoch 72/200, Training Loss: 0.0010133853298729888, Validation Loss: 0.0009881233161484653, Estimated Remaining Time: 00:50:58
Epoch 73/200, Training Loss: 0.0010091140339049116, Validation Loss: 0.0010006046573504466, Estimated Remaining Time: 00:50:35
Epoch 74/200, Training Loss: 0.0010038787285465154, Validation Loss: 0.0009904244258491831, Estimated Remaining Time: 00:50:12
Epoch 75/200, Training Loss: 0.0010021188890956825, Validation Loss: 0.0009917230218310247, Estimated Remaining Time: 00:49:50
Epoch 76/200, Training Loss: 0.000997440103939692, Validation Loss: 0.0009803586374883624, Estimated Remaining Time: 00:49:27
Epoch 77/200, Training Loss: 0.0009937106203306712, Validation Loss: 0.0009798793090422721, Estimated Remaining Time: 00:49:04
Epoch 78/200, Training Loss: 0.0009904686727663908, Validation Loss: 0.0009604540441862561, Estimated Remaining Time: 00:48:41
Epoch 79/200, Training Loss: 0.0009877954801594557, Validation Loss: 0.0009575797504195097, Estimated Remaining Time: 00:48:18
