Epoch 1/200, Training Loss: 0.24810080170906865, Validation Loss: 0.21148891675586518, Validation Accuracy: 0.905566
Epoch 2/200, Training Loss: 0.19414836384946665, Validation Loss: 0.17605150402925265, Validation Accuracy: 0.922511
Epoch 3/200, Training Loss: 0.16961221975912372, Validation Loss: 0.16045931976633712, Validation Accuracy: 0.929451
Epoch 4/200, Training Loss: 0.1576230000165532, Validation Loss: 0.1540922776293069, Validation Accuracy: 0.932226
Epoch 5/200, Training Loss: 0.1501981667827297, Validation Loss: 0.14745178792518548, Validation Accuracy: 0.935301
Epoch 6/200, Training Loss: 0.1454143190496213, Validation Loss: 0.14592581137586325, Validation Accuracy: 0.935662
Epoch 7/200, Training Loss: 0.1422126443279921, Validation Loss: 0.14312714050276973, Validation Accuracy: 0.937354
Epoch 8/200, Training Loss: 0.13975266040886503, Validation Loss: 0.1406333221795079, Validation Accuracy: 0.938429
Epoch 9/200, Training Loss: 0.1376171084991605, Validation Loss: 0.13940631388760985, Validation Accuracy: 0.939136
Epoch 10/200, Training Loss: 0.13579017924025014, Validation Loss: 0.1372696915135597, Validation Accuracy: 0.940354
Epoch 11/200, Training Loss: 0.13401007050250377, Validation Loss: 0.13437531407648762, Validation Accuracy: 0.941712
Epoch 12/200, Training Loss: 0.1325596215417281, Validation Loss: 0.13441691976100112, Validation Accuracy: 0.941524
Epoch 13/200, Training Loss: 0.13140546352762453, Validation Loss: 0.133298541267459, Validation Accuracy: 0.941992
Epoch 14/200, Training Loss: 0.13034800806642638, Validation Loss: 0.1318480007517071, Validation Accuracy: 0.942629
Epoch 15/200, Training Loss: 0.12933302359239005, Validation Loss: 0.132361487577708, Validation Accuracy: 0.942588
Epoch 16/200, Training Loss: 0.12818621484105205, Validation Loss: 0.13003299804255605, Validation Accuracy: 0.943698
Epoch 17/200, Training Loss: 0.1270386401022239, Validation Loss: 0.12965914278555982, Validation Accuracy: 0.943826
Epoch 18/200, Training Loss: 0.1260886487060707, Validation Loss: 0.12960057586621934, Validation Accuracy: 0.944107
Epoch 19/200, Training Loss: 0.1252208132438502, Validation Loss: 0.12689598045124414, Validation Accuracy: 0.945282
Epoch 20/200, Training Loss: 0.12449985996836918, Validation Loss: 0.12627678014599858, Validation Accuracy: 0.945397
